0015 0020       0.00237237           6.93534e-05         0.000118299     0.00494155    0.000234426       0.000260913
0020 0025       0.00478296	     0.000119281         0.000170312     0.00871513    0.000245299        0.00021681
0025 0030       0.00974315	     0.000217826         0.000257832     0.01644       0.000390071       0.000383997
0030 0035       0.0275813	     0.000543932         0.000550132     0.0412531     0.000815946       0.000851095
0035 0040       0.0668968	      0.00119116          0.00104928     0.091545       0.00152986           0.00172
0040 0045       0.175316	      0.00260689          0.00217388     0.180389       0.00235181        0.00271859
0045 0050       0.272041	      0.00300875          0.00266916     0.257265       0.00259346        0.00301398
0050 0055       0.309205	      0.00295681          0.00259851     0.305842       0.00260633        0.00326654
0055 0060       0.340279	      0.00290778          0.00252629     0.340042       0.00246989         0.0033846
0060 0064       0.36259	              0.00283755          0.00249844     0.363964       0.00229804        0.00339362
0064 0068       0.378786	      0.00276682          0.00251111     0.380348       0.00214724          0.003386
0068 0072       0.392665	      0.00271281          0.00255918     0.394014       0.00203578        0.00336914
0072 0076       0.403669	      0.00267459          0.00262072     0.40636        0.00195444        0.00335873
0076 0081       0.4158	              0.00265934          0.00269534     0.41768        0.00189994        0.00334825
0081 0086       0.428878	      0.00264985          0.00276117     0.43022        0.00186834        0.00335264
0086 0091       0.449414	      0.00268002          0.00285035     0.451152       0.00188375        0.00339621
0091 0096       0.459994	      0.00267537          0.00286519     0.460622       0.00188191        0.00338355
0096 0101       0.46572	              0.00254696          0.00274751     0.467692       0.00179379        0.00322687
0101 0106       0.470248	       0.0024339           0.0026288     0.472693       0.00172133        0.00310332
0106 0110       0.475004	      0.00234748          0.00252888     0.476297       0.00166992        0.00297009
0110 0115       0.47863	              0.00226451          0.00243918     0.479567       0.00161378        0.00286529
0115 0120       0.482684	      0.00217853          0.00234387     0.484731       0.00155832        0.00276827
0120 0126       0.486271	       0.0020977          0.00225447     0.489484       0.00150817        0.00268286
0126 0133       0.49163	              0.00200469          0.00216234     0.493011       0.00144497        0.00260202
0133 0141       0.496697	       0.0019164          0.00207091     0.499141       0.00139231        0.00252329
0141 0150       0.503445	      0.00183536          0.00198557     0.504555       0.00132537        0.00245764
0150 0160       0.509624	      0.00175809          0.00190809     0.512482       0.00128058        0.00238933
0160 0171       0.51741	              0.00168626          0.00184276     0.519595       0.00123461        0.00234162
0171 0185       0.526181	      0.00161055           0.0017913     0.528488       0.00119837        0.00226345
0185 0200       0.536828	      0.00153366          0.00175037     0.537769       0.00115996         0.0022147
0200 0220       0.547899	      0.00146128          0.00172611     0.549392        0.0011347        0.00214848
0220 0243       0.561508	      0.00138974          0.00171419     0.563041       0.00110464        0.00209318
0243 0273       0.578311	      0.00133495          0.00171895     0.580398       0.00108958        0.00204241
0273 0320       0.601004	      0.00129947          0.00173981     0.601502       0.00109088        0.00199392
0320 0380       0.630117	      0.00130052          0.00177411     0.630573       0.00109051        0.00195349
0380 0440       0.661827	      0.00133668          0.00181084     0.661286       0.00110334        0.00194167
0440 0510       0.691003	      0.00135479           0.0017988     0.6916         0.00109783        0.00187468
0510 0600       0.7219	              0.00136185          0.00178011     0.722101       0.00107999        0.00179684
0600 0700       0.754185	      0.00131805          0.00171305     0.752949       0.00105677        0.00167848
0700 0830       0.785263	      0.00125071          0.00161886     0.784034       0.00101512        0.00152175
0830 1000       0.816132	      0.00114758           0.0014751     0.815526      0.000955062        0.00132899
1000 1200       0.845258	     0.000996986          0.00128037     0.843638      0.000895182        0.00110099
1200 1500       0.870026	     0.000880523          0.00110594     0.870426      0.000810425       0.000891117
1500 2000       0.896359	     0.000778031         0.000895394     0.897358      0.000792055       0.000710574
2000 3000       0.921703	     0.000762567         0.000758686     0.92274       0.000750547       0.000640991
3000 6500       0.944617	      0.00116132          0.00127024     0.944659       0.00093352        0.00108548
