 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    103.00000000000000     
 Renormalization scale              =    103.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =    5.1099894610000002E-004
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11807459414092185     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    101.00000000000000     
 Upper M limit for non-Zpole     =    106.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    101.00000000000000     
 Lepton-pair invariant mass maximum =    106.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    401.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    22.154541477457567
 Integration Error (pb)      =    0.12410324579850192
 PDF Error (pb)              +      0.557333
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         9.5564826        0.12951234          0.279049                 0
    12.50         4.6512142    0.15146001E-01         0.0802881                 0
    20.83         2.0215399    0.62457241E-02         0.0361214                 0
    29.17         1.1132782    0.35616962E-02         0.0207375                 0
    37.50        0.70058919    0.23989142E-02         0.0133258                 0
    45.83        0.47038112    0.17886137E-02        0.00907047                 0
    54.17        0.32613607    0.13478319E-02        0.00626118                 0
    62.50        0.23509902    0.10778053E-02        0.00465174                 0
    70.83        0.17330966    0.88434678E-03        0.00353663                 0
    79.17        0.12986624    0.72676641E-03        0.00267486                 0
    87.50    0.97998442E-01    0.60738400E-03        0.00207748                 0
    95.83    0.74507029E-01    0.50014372E-03        0.00163225                 0
   104.17    0.58408067E-01    0.42951330E-03        0.00129526                 0
   112.50    0.45499814E-01    0.36004514E-03        0.00103649                 0
   120.83    0.35980796E-01    0.31226094E-03       0.000834469                 0
   129.17    0.28257465E-01    0.26418372E-03       0.000659977                 0
   137.50    0.23109654E-01    0.23367289E-03       0.000555739                 0
   145.83    0.18919395E-01    0.20242915E-03       0.000468792                 0
   154.17    0.14620709E-01    0.17022993E-03       0.000366263                 0
   162.50    0.12120228E-01    0.14787152E-03       0.000313388                 0
   170.83    0.10074726E-01    0.13079895E-03       0.000265589                 0
   179.17    0.83735633E-02    0.11603163E-03       0.000223253                 0
   187.50    0.69768716E-02    0.10240725E-03       0.000190636                 0
   195.83    0.57354362E-02    0.89474376E-04       0.000156549                 0
   204.17    0.48984470E-02    0.81452036E-04        0.00013921                 0
   212.50    0.41479108E-02    0.71600344E-04       0.000117549                 0
   220.83    0.36845864E-02    0.66268178E-04       0.000112067                 0
   229.17    0.29500864E-02    0.57076086E-04        8.8191e-05                 0
   237.50    0.25096735E-02    0.50534682E-04       7.90286e-05                 0
   245.83    0.21995607E-02    0.47635404E-04       6.77431e-05                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00    0.34462963E-03    0.10624778E-03        6.4605e-05                 0
    -4.33        0.15495442    0.25222851E-01           0.02814                 0
    -3.67        0.98725759    0.36730420E-01         0.0715999                 0
    -3.00         1.7360003    0.33185381E-01         0.0707692                 0
    -2.33         1.6690403    0.14720319E-01         0.0422249                 0
    -1.67         2.0873711    0.11717704E-01         0.0242156                 0
    -1.00         2.1903948    0.92358452E-02         0.0178147                 0
    -0.33         2.0932321    0.62293632E-02         0.0137119                 0
     0.33         2.1201573    0.66137746E-02          0.014002                 0
     1.00         2.1856736    0.89635214E-02         0.0177962                 0
     1.67         2.1212622    0.11886870E-01         0.0250783                 0
     2.33         1.5455945    0.12747935E-01         0.0442052                 0
     3.00         1.7280472    0.32995681E-01         0.0707655                 0
     3.67        0.98837403    0.36653177E-01         0.0715277                 0
     4.33        0.15616483    0.25212166E-01         0.0282761                 0
     5.00    0.33065221E-03    0.10611386E-03        6.3786e-05                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

   101.50         3.5206031    0.18992333E-01         0.0453039                 0
   102.50         3.0535855    0.16411797E-01         0.0704102                 0
   103.50         2.7139671    0.16225164E-01         0.0558089                 0
   104.50         3.7086407    0.54519004E-01          0.104556                 0
   105.50         2.1073593    0.14101542E-01         0.0366422                 0

  ----   l-/lep. pT     ----

     1.67    0.60588088E-01    0.90351822E-02        0.00279645                 0
     5.00        0.17707302    0.21634822E-01        0.00609165                 0
     8.33    0.45187956E-01    0.33024394E-02        0.00365116                 0
    11.67    0.43765283E-01    0.99713441E-03        0.00144464                 0
    15.00    0.47008785E-01    0.92471686E-03        0.00076855                 0
    18.33    0.79354738E-01    0.13379225E-02        0.00137857                 0
    21.67        0.16991378    0.26947509E-02        0.00583673                 0
    25.00        0.31849391    0.54461974E-02        0.00835944                 0
    28.33         1.1363547    0.79407393E-01         0.0250043                 0
    31.67         1.4582964    0.80070759E-01         0.0349084                 0
    35.00         1.1471459    0.40864502E-01          0.116007                 0
    38.33         1.7932482    0.56820036E-01         0.0372337                 0
    41.67         1.7093124    0.46841796E-01         0.0553543                 0
    45.00         2.2178437    0.57926605E-01         0.0479191                 0
    48.33         2.7483182    0.69525005E-01         0.0505863                 0
    51.67         1.3976172    0.36501291E-01         0.0241625                 0
    55.00         1.1368675    0.82257297E-02          0.018105                 0
    58.33        0.45183993    0.27678587E-02        0.00705974                 0
    61.67        0.27167166    0.16671526E-02        0.00418832                 0
    65.00        0.18511150    0.12779707E-02        0.00271275                 0
    68.33        0.13203869    0.96050124E-03        0.00193165                 0
    71.67        0.10119845    0.80981991E-03        0.00140804                 0
    75.00    0.79601927E-01    0.69229617E-03        0.00106437                 0
    78.33    0.61973516E-01    0.58517264E-03       0.000833248                 0
    81.67    0.51103984E-01    0.52048989E-03       0.000660924                 0
    85.00    0.41587074E-01    0.45328790E-03       0.000530449                 0
    88.33    0.34431711E-01    0.40198675E-03        0.00044692                 0
    91.67    0.29056149E-01    0.36493237E-03       0.000366823                 0
    95.00    0.24501067E-01    0.32803213E-03       0.000306516                 0
    98.33    0.21368546E-01    0.31069727E-03       0.000248473                 0

  ----   l-/lep. eta    ----

    -9.67   -0.44119054E-04    0.34180848E-04       1.26041e-05                 0
    -9.00   -0.36733825E-04    0.74218981E-04       1.65196e-05                 0
    -8.33    0.26976193E-02    0.20312551E-02       3.56002e-05                 0
    -7.67    0.25165930E-03    0.14430844E-02       0.000248522                 0
    -7.00    0.15078263E-01    0.55992224E-02         8.738e-06                 0
    -6.33    0.44689042E-01    0.10493380E-01       0.000227205                 0
    -5.67    0.79031530E-01    0.14549363E-01        0.00100524                 0
    -5.00        0.32000034    0.32819460E-01         0.0164402                 0
    -4.33        0.71825359    0.28600227E-01        0.00382286                 0
    -3.67         1.1520845    0.39831144E-01         0.0314304                 0
    -3.00         1.5487719    0.34732179E-01         0.0507075                 0
    -2.33         1.7080845    0.27208015E-01         0.0558223                 0
    -1.67         1.3766852    0.74748975E-02         0.0170315                 0
    -1.00         1.8072662    0.87668748E-02         0.0237934                 0
    -0.33         1.8924025    0.73762944E-02          0.021378                 0
     0.33         1.8429598    0.68014713E-02         0.0203986                 0
     1.00         1.7045861    0.81446366E-02         0.0207124                 0
     1.67         1.6097410    0.34856291E-01         0.0326993                 0
     2.33         1.7260795    0.53015682E-01          0.056099                 0
     3.00         1.5734519    0.42069394E-01         0.0510639                 0
     3.67         1.1229900    0.45759261E-01         0.0313414                 0
     4.33        0.72662772    0.29567157E-01         0.0038184                 0
     5.00        0.30972149    0.33711814E-01         0.0165618                 0
     5.67    0.80542502E-01    0.17129155E-01        0.00104923                 0
     6.33    0.50746234E-01    0.13257349E-01       0.000187992                 0
     7.00    0.12874004E-01    0.65089587E-02                 0        2.6868e-05
     7.67    0.13163033E-03    0.26967317E-02       0.000228632                 0
     8.33    0.28811370E-02    0.21987698E-02        3.3359e-05                 0
