 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    108.00000000000000     
 Renormalization scale              =    108.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =    5.1099894610000002E-004
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11716114907506936     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    106.00000000000000     
 Upper M limit for non-Zpole     =    110.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    106.00000000000000     
 Lepton-pair invariant mass maximum =    110.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    474.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    5.3454861343811126
 Integration Error (pb)      =    1.9122312742293063E-002
 PDF Error (pb)              +     0.0931115
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         3.1960778    0.28109837E-01                 0         0.0427421
    12.50         2.0014427    0.66075751E-02         0.0236289                 0
    20.83        0.86962219    0.26858558E-02         0.0109442                 0
    29.17        0.48193977    0.15369444E-02        0.00636919                 0
    37.50        0.30196596    0.10296552E-02        0.00412247                 0
    45.83        0.20496285    0.77470675E-03        0.00275904                 0
    54.17        0.14315326    0.58861874E-03        0.00191983                 0
    62.50        0.10341965    0.46479052E-03        0.00137293                 0
    70.83    0.76282374E-01    0.37947580E-03        0.00105643                 0
    79.17    0.57763341E-01    0.31636919E-03       0.000808664                 0
    87.50    0.43956826E-01    0.26517963E-03       0.000627163                 0
    95.83    0.33379502E-01    0.21900110E-03       0.000479174                 0
   104.17    0.26180458E-01    0.18557619E-03        0.00038086                 0
   112.50    0.20719297E-01    0.16027740E-03       0.000314822                 0
   120.83    0.16371654E-01    0.13652594E-03       0.000254293                 0
   129.17    0.12986362E-01    0.11741560E-03       0.000193644                 0
   137.50    0.10509036E-01    0.10192502E-03        0.00015939                 0
   145.83    0.86602507E-02    0.89806180E-04       0.000138532                 0
   154.17    0.69728444E-02    0.77300581E-04       0.000114612                 0
   162.50    0.55650620E-02    0.66685940E-04        9.0567e-05                 0
   170.83    0.46655273E-02    0.58796315E-04       8.05525e-05                 0
   179.17    0.38475488E-02    0.50753243E-04       6.75703e-05                 0
   187.50    0.32792172E-02    0.46673788E-04       5.62883e-05                 0
   195.83    0.26929511E-02    0.39738286E-04         5.016e-05                 0
   204.17    0.22894631E-02    0.36729696E-04       3.97583e-05                 0
   212.50    0.19362666E-02    0.32377197E-04       3.52634e-05                 0
   220.83    0.16493762E-02    0.29040504E-04       3.06092e-05                 0
   229.17    0.14764214E-02    0.26702373E-04       2.91484e-05                 0
   237.50    0.11903984E-02    0.22826407E-04       2.28525e-05                 0
   245.83    0.10142748E-02    0.21214277E-04       2.05737e-05                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00    0.23420448E-04    0.97578983E-05        7.2416e-06                 0
    -4.33    0.58794784E-01    0.10244858E-01         0.0072545                 0
    -3.67        0.41853715    0.15630906E-01         0.0109056                 0
    -3.00        0.77541401    0.14749891E-01        0.00208758                 0
    -2.33        0.77040836    0.68510920E-02                 0        0.00297793
    -1.67        0.82360190    0.37853044E-02                 0         0.0111087
    -1.00        0.91418550    0.29126584E-02                 0         0.0119094
    -0.33        0.99546283    0.35215683E-02                 0         0.0193639
     0.33        0.99934830    0.35285939E-02                 0         0.0195819
     1.00        0.91953670    0.29371013E-02                 0          0.012727
     1.67        0.88975759    0.44838774E-02                 0         0.0112933
     2.33        0.76826486    0.67185569E-02                 0        0.00361993
     3.00        0.77259628    0.14672664E-01        0.00210514                 0
     3.67        0.41925060    0.15596785E-01         0.0109099                 0
     4.33    0.58526901E-01    0.10240382E-01        0.00730056                 0
     5.00    0.25719304E-04    0.97343170E-05       7.80339e-06                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

   106.50         1.7001486    0.84415373E-02         0.0016649                 0
   107.50         1.7188925    0.98326711E-02         0.0110095                 0
   108.50         1.3856416    0.78626563E-02         0.0897931                 0
   109.50         1.8576550    0.15841335E-01                 0         0.0186578

  ----   l-/lep. pT     ----

     1.67        0.46510424    0.36169124E-02                 0          0.184806
     5.00        0.10356784    0.97048845E-02                 0           0.01293
     8.33    0.38758118E-02    0.32891726E-03                 0        0.00038842
    11.67    0.13621352E-01    0.31641585E-03        9.5652e-05                 0
    15.00    0.17768707E-01    0.38243311E-03       0.000275978                 0
    18.33    0.29906933E-01    0.54383250E-03       0.000442504                 0
    21.67    0.66349487E-01    0.11831024E-02        0.00132432                 0
    25.00    0.92292550E-01    0.16040689E-02        0.00128266                 0
    28.33        0.25287822    0.14870841E-01        0.00374925                 0
    31.67        0.27136282    0.11526342E-01        0.00372049                 0
    35.00        0.48116149    0.18310687E-01           0.03945                 0
    38.33        0.54092384    0.17527175E-01         0.0107965                 0
    41.67        0.73195274    0.22403513E-01         0.0132153                 0
    45.00        0.90077613    0.33737895E-01         0.0117788                 0
    48.33        0.74199134    0.16218154E-01        0.00814922                 0
    51.67        0.83965000    0.20584073E-01        0.00592006                 0
    55.00        0.68953478    0.16414065E-01        0.00712451                 0
    58.33        0.32404442    0.20657627E-02        0.00319504                 0
    61.67        0.16035414    0.10095973E-02        0.00148832                 0
    65.00        0.10083472    0.64193786E-03        0.00090326                 0
    68.33    0.71157898E-01    0.50726005E-03       0.000552368                 0
    71.67    0.52022985E-01    0.39176394E-03       0.000389284                 0
    75.00    0.39723236E-01    0.32704932E-03       0.000264089                 0
    78.33    0.32078802E-01    0.28827441E-03       0.000171688                 0
    81.67    0.24998586E-01    0.24048586E-03       0.000134078                 0
    85.00    0.20879126E-01    0.21503040E-03        9.9535e-05                 0
    88.33    0.16940056E-01    0.18860120E-03        6.8892e-05                 0
    91.67    0.14506420E-01    0.17226478E-03        5.5859e-05                 0
    95.00    0.11990503E-01    0.15216844E-03        3.8166e-05                 0
    98.33    0.10184302E-01    0.13841144E-03        3.4404e-05                 0

  ----   l-/lep. eta    ----

    -9.67    0.15193643E-01    0.14981824E-03                 0        0.00630066
    -9.00    0.16119949E-01    0.15346915E-03                 0        0.00670331
    -8.33    0.17919719E-01    0.96640339E-03                 0         0.0069955
    -7.67    0.16814597E-01    0.52893728E-03                 0        0.00694512
    -7.00    0.22821051E-01    0.22487210E-02                 0        0.00717275
    -6.33    0.34849766E-01    0.43748161E-02                 0        0.00740375
    -5.67    0.50556633E-01    0.59894539E-02                 0        0.00752253
    -5.00        0.15477310    0.13860808E-01                 0         0.0050273
    -4.33        0.33018394    0.12389550E-01                 0         0.0134512
    -3.67        0.52056771    0.15997258E-01                 0        0.00430097
    -3.00        0.67566253    0.13596066E-01        0.00697542                 0
    -2.33        0.55367690    0.49536571E-02        0.00448833                 0
    -1.67        0.66999656    0.48925879E-02        0.00619454                 0
    -1.00        0.81839213    0.44504772E-02        0.00755493                 0
    -0.33        0.79871375    0.28409972E-02        0.00490001                 0
     0.33        0.79181277    0.29782843E-02        0.00541036                 0
     1.00        0.75706473    0.40458839E-02         0.0059709                 0
     1.67        0.60995929    0.55812698E-02        0.00532543                 0
     2.33        0.47221211    0.57563559E-02        0.00372733                 0
     3.00        0.68227044    0.16712853E-01        0.00698929                 0
     3.67        0.51288052    0.18236612E-01                 0        0.00426842
     4.33        0.33239720    0.12810198E-01                 0         0.0134901
     5.00        0.15086312    0.14221169E-01                 0          0.004929
     5.67    0.51251683E-01    0.69398024E-02                 0        0.00755093
     6.33    0.36375965E-01    0.53971384E-02                 0        0.00743725
     7.00    0.21788331E-01    0.26684103E-02                 0        0.00715935
     7.67    0.16959460E-01    0.12200433E-02                 0        0.00695059
     8.33    0.18071919E-01    0.10385979E-02                 0         0.0070029
