 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    350.00000000000000     
 Renormalization scale              =    350.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =    5.1099894610000002E-004
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =    9.8254515366978837E-002
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    320.00000000000000     
 Upper M limit for non-Zpole     =    380.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    320.00000000000000     
 Lepton-pair invariant mass maximum =    380.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    575.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    0.17363657777464328
 Integration Error (pb)      =    2.6226944719898756E-004
 PDF Error (pb)              +             0
                             -     0.0113039
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17    0.34629663E-01    0.48208887E-03                 0        0.00120058
    12.50    0.60468142E-01    0.29320809E-03                 0        0.00538345
    20.83    0.28320042E-01    0.11613843E-03                 0        0.00252041
    29.17    0.17064627E-01    0.66458815E-04                 0        0.00153483
    37.50    0.11479905E-01    0.44265311E-04                 0        0.00103495
    45.83    0.82357426E-02    0.32855224E-04                 0        0.00073397
    54.17    0.62759759E-02    0.25540089E-04                 0       0.000573259
    62.50    0.48303822E-02    0.19896629E-04                 0       0.000447452
    70.83    0.39048580E-02    0.16760373E-04                 0       0.000358184
    79.17    0.31510963E-02    0.13927991E-04                 0       0.000295028
    87.50    0.25899877E-02    0.11820973E-04                 0       0.000244005
    95.83    0.21863760E-02    0.10347053E-04                 0       0.000206926
   104.17    0.18327975E-02    0.88560130E-05                 0        0.00017556
   112.50    0.15535344E-02    0.76914072E-05                 0       0.000150364
   120.83    0.13386364E-02    0.69880414E-05                 0       0.000130517
   129.17    0.11610592E-02    0.62243983E-05                 0       0.000114406
   137.50    0.10076415E-02    0.55780494E-05                 0       0.000100647
   145.83    0.88326293E-03    0.50996700E-05                 0       8.85188e-05
   154.17    0.76618531E-03    0.45137431E-05                 0        7.7165e-05
   162.50    0.68356037E-03    0.42153302E-05                 0       6.98995e-05
   170.83    0.59822262E-03    0.38541011E-05                 0       6.16269e-05
   179.17    0.53739819E-03    0.35458198E-05                 0       5.57466e-05
   187.50    0.47429273E-03    0.32300434E-05                 0       5.03686e-05
   195.83    0.41949320E-03    0.29677615E-05                 0       4.46411e-05
   204.17    0.38364215E-03    0.27880454E-05                 0       4.12434e-05
   212.50    0.34226157E-03    0.25810383E-05                 0       3.71438e-05
   220.83    0.30496442E-03    0.23805624E-05                 0       3.34396e-05
   229.17    0.27543368E-03    0.22194840E-05                 0       3.03619e-05
   237.50    0.24301898E-03    0.20284847E-05                 0        2.6742e-05
   245.83    0.22294970E-03    0.19570708E-05                 0       2.50143e-05

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67    0.56399523E-04    0.35457415E-05                 0       1.78129e-05
    -3.00    0.57534252E-02    0.12175250E-03                 0        0.00150532
    -2.33    0.17505003E-01    0.16774587E-03                 0        0.00328385
    -1.67    0.22445049E-01    0.77865317E-04                 0        0.00247489
    -1.00    0.29545147E-01    0.63366650E-04                 0        0.00166825
    -0.33    0.31335437E-01    0.50767568E-04                 0       0.000939286
     0.33    0.31614460E-01    0.60604261E-04                 0       0.000944518
     1.00    0.29564616E-01    0.63051674E-04                 0        0.00165866
     1.67    0.23002969E-01    0.82403828E-04                 0        0.00256422
     2.33    0.18396080E-01    0.18076540E-03                 0        0.00349751
     3.00    0.57589712E-02    0.12091696E-03                 0        0.00150684
     3.67    0.55944642E-04    0.35120316E-05                 0       1.76709e-05
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

   321.00    0.81150497E-02    0.64811871E-04                 0       0.000530083
   323.00    0.81838427E-02    0.60169521E-04                 0       0.000536565
   325.00    0.80077792E-02    0.60665743E-04                 0       0.000495798
   327.00    0.79564613E-02    0.60610840E-04                 0       0.000521436
   329.00    0.81756588E-02    0.74354513E-04                 0       0.000526744
   331.00    0.75349217E-02    0.55545298E-04                 0       0.000484195
   333.00    0.74467985E-02    0.61968387E-04                 0        0.00051223
   335.00    0.73454469E-02    0.63110724E-04                 0       0.000500722
   337.00    0.71382600E-02    0.66713089E-04                 0       0.000491197
   339.00    0.73036296E-02    0.73481112E-04                 0       0.000539079
   341.00    0.66244003E-02    0.61322858E-04                 0       0.000440052
   343.00    0.66023172E-02    0.59208451E-04                 0       0.000440178
   345.00    0.73461966E-02    0.97256331E-04                 0        0.00064303
   347.00    0.67759196E-02    0.79734472E-04                 0       0.000544726
   349.00    0.62316014E-02    0.64246642E-04                 0       0.000473236
   351.00    0.61364373E-02    0.63276211E-04                 0       0.000471161
   353.00    0.58305010E-02    0.62084717E-04                 0       0.000405875
   355.00    0.58257490E-02    0.60642523E-04                 0       0.000442623
   357.00    0.55449359E-02    0.59253560E-04                 0       0.000370881
   359.00    0.55075234E-02    0.59601475E-04                 0       0.000390171
   361.00    0.52948856E-02    0.57287316E-04                 0       0.000390941
   363.00    0.53217623E-02    0.60799896E-04                 0       0.000428081
   365.00    0.50702035E-02    0.59653903E-04                 0        0.00037813
   367.00    0.48720296E-02    0.57965545E-04                 0       0.000349056
   369.00    0.48835677E-02    0.59399010E-04                 0       0.000380004
   371.00    0.47144297E-02    0.57927628E-04                 0       0.000357377
   373.00    0.48743038E-02    0.62705627E-04                 0       0.000392681
   375.00    0.46745945E-02    0.63019150E-04                 0       0.000367346
   377.00    0.49361837E-02    0.80728129E-04                 0       0.000361736
   379.00    0.43214976E-02    0.54715856E-04                 0       0.000331328

  ----   l-/lep. pT     ----

     1.67    0.56246770E-04    0.38603595E-04                 0       2.77335e-06
     5.00    0.25358683E-03    0.61519121E-04                 0       2.19533e-05
     8.33    0.27251133E-03    0.44994976E-04                 0       1.17182e-05
    11.67    0.80845345E-04    0.70544340E-05       1.09707e-05                 0
    15.00    0.31393763E-04    0.23365847E-05       4.01101e-06                 0
    18.33    0.35535852E-04    0.25059508E-05       3.41217e-06                 0
    21.67    0.58583732E-04    0.39150249E-05       5.48283e-06                 0
    25.00    0.18632677E-03    0.11005584E-04       9.37035e-06                 0
    28.33    0.10149306E-03    0.17803073E-04                 0       1.60537e-06
    31.67    0.17489644E-02    0.54578504E-03                 0       0.000181248
    35.00    0.12363437E-02    0.23491497E-03                 0       7.66572e-05
    38.33    0.90515772E-03    0.12866251E-03                 0       5.29651e-05
    41.67    0.63176981E-03    0.13668702E-03                 0       2.42103e-05
    45.00    0.16881962E-02    0.28871584E-03                 0       0.000128244
    48.33    0.13716467E-02    0.11788440E-03                 0       5.56097e-05
    51.67    0.66240504E-03    0.79288147E-04       4.43373e-05                 0
    55.00    0.12822359E-02    0.12299035E-03        7.8872e-06                 0
    58.33    0.12206777E-02    0.12289946E-03                 0       5.08061e-05
    61.67    0.81266068E-03    0.95878186E-04                 0       1.72765e-05
    65.00    0.18975610E-02    0.12244121E-03                 0       0.000103581
    68.33    0.25447818E-02    0.30721950E-03                 0       0.000136016
    71.67    0.19621736E-02    0.23448229E-03                 0       0.000118468
    75.00    0.17930337E-02    0.15397603E-03                 0       0.000115568
    78.33    0.13974315E-02    0.16217656E-03                 0       7.50979e-05
    81.67    0.37472806E-02    0.33991570E-03                 0       0.000358178
    85.00    0.25019401E-02    0.26853708E-03                 0       0.000189757
    88.33    0.30448226E-02    0.24561625E-03                 0       0.000226809
    91.67    0.38872546E-02    0.45654426E-03                 0       0.000377705
