 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    765.00000000000000     
 Renormalization scale              =    765.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =    5.1099894610000002E-004
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =    8.8792756032090650E-002
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    700.00000000000000     
 Upper M limit for non-Zpole     =    830.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    700.00000000000000     
 Lepton-pair invariant mass maximum =    830.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    596.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    1.2275183733557224E-002
 Integration Error (pb)      =    1.6660408753300795E-005
 PDF Error (pb)              +   2.77556e-17
                             -    0.00142489
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17    0.31778024E-03    0.36791045E-04       0.000191694                 0
    12.50    0.39515092E-02    0.24898803E-04                 0       0.000512527
    20.83    0.19371008E-02    0.10219965E-04                 0       0.000255105
    29.17    0.12000817E-02    0.59666172E-05                 0       0.000159149
    37.50    0.82989481E-03    0.41243837E-05                 0       0.000110978
    45.83    0.61173874E-03    0.30358402E-05                 0       8.21134e-05
    54.17    0.47567623E-03    0.23918532E-05                 0       6.43801e-05
    62.50    0.37504468E-03    0.19026948E-05                 0        5.0564e-05
    70.83    0.31157498E-03    0.15880232E-05                 0       4.24481e-05
    79.17    0.25515489E-03    0.13203887E-05                 0       3.44204e-05
    87.50    0.21404191E-03    0.11225465E-05                 0       2.93416e-05
    95.83    0.18385154E-03    0.98266704E-06                 0       2.51678e-05
   104.17    0.15779499E-03    0.85459751E-06                 0       2.17357e-05
   112.50    0.13719523E-03    0.74957446E-06                 0       1.89492e-05
   120.83    0.12097998E-03    0.66835471E-06                 0       1.68537e-05
   129.17    0.10570778E-03    0.58621609E-06                 0        1.4776e-05
   137.50    0.93314666E-04    0.53069096E-06                 0       1.30356e-05
   145.83    0.83792053E-04    0.48391405E-06                 0       1.17711e-05
   154.17    0.75092134E-04    0.43905621E-06                 0       1.05972e-05
   162.50    0.66933648E-04    0.39836992E-06                 0       9.55058e-06
   170.83    0.60388671E-04    0.36581075E-06                 0       8.62936e-06
   179.17    0.54079798E-04    0.32826243E-06                 0       7.73938e-06
   187.50    0.49618060E-04    0.30330829E-06                 0       7.07544e-06
   195.83    0.44126444E-04    0.27448007E-06                 0       6.33928e-06
   204.17    0.41410463E-04    0.26500513E-06                 0       6.00638e-06
   212.50    0.37005524E-04    0.23568739E-06                 0       5.36491e-06
   220.83    0.34207119E-04    0.22172043E-06                 0       4.97584e-06
   229.17    0.30993148E-04    0.20360595E-06                 0       4.52501e-06
   237.50    0.28924390E-04    0.19293665E-06                 0       4.26206e-06
   245.83    0.26361180E-04    0.18143389E-06                 0       3.87161e-06

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00    0.77680512E-06    0.32488800E-07                 0       2.50801e-07
    -2.33    0.23369976E-03    0.22720819E-05                 0       6.29033e-05
    -1.67    0.11938794E-02    0.41359307E-05                 0       0.000258824
    -1.00    0.22096138E-02    0.46658781E-05                 0       0.000265898
    -0.33    0.25319050E-02    0.36295487E-05                 0       0.000139189
     0.33    0.25348848E-02    0.37787921E-05                 0       0.000139139
     1.00    0.22761591E-02    0.57803040E-05                 0       0.000274418
     1.67    0.14556530E-02    0.75327970E-05                 0       0.000298072
     2.33    0.19767976E-03    0.16577878E-05                 0       5.61143e-05
     3.00    0.77706892E-06    0.31878448E-07                 0       2.50983e-07
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

   702.17    0.56629578E-03    0.42734740E-05                 0       6.37487e-05
   706.50    0.57277989E-03    0.43310499E-05                 0        6.5296e-05
   710.83    0.54912911E-03    0.37388591E-05                 0       6.00388e-05
   715.17    0.54228507E-03    0.38307077E-05                 0       6.10027e-05
   719.50    0.52715317E-03    0.35880730E-05                 0       5.98262e-05
   723.83    0.51062440E-03    0.33888249E-05                 0       5.73074e-05
   728.17    0.49952633E-03    0.36744971E-05                 0       5.75803e-05
   732.50    0.49222476E-03    0.39046623E-05                 0       5.68746e-05
   736.83    0.46918063E-03    0.38216241E-05                 0       5.34152e-05
   741.17    0.46396738E-03    0.36808946E-05                 0       5.39455e-05
   745.50    0.44053854E-03    0.36982327E-05                 0       4.91526e-05
   749.83    0.43778176E-03    0.39530406E-05                 0       5.12193e-05
   754.17    0.43384398E-03    0.38992961E-05                 0       4.90054e-05
   758.50    0.41369322E-03    0.37006395E-05                 0       4.63809e-05
   762.83    0.41520812E-03    0.44918982E-05                 0       4.89338e-05
   767.17    0.39746073E-03    0.37873958E-05                 0       4.74416e-05
   771.50    0.37850273E-03    0.36519982E-05                 0       4.29428e-05
   775.83    0.37896368E-03    0.37001845E-05                 0       4.61182e-05
   780.17    0.36068488E-03    0.37065726E-05                 0       4.06073e-05
   784.50    0.35729922E-03    0.34956998E-05                 0       4.17624e-05
   788.83    0.34046577E-03    0.34291636E-05                 0        4.0297e-05
   793.17    0.33833932E-03    0.35305531E-05                 0       4.09407e-05
   797.50    0.32641648E-03    0.36283544E-05                 0        3.9207e-05
   801.83    0.34538278E-03    0.58276298E-05                 0       4.22523e-05
   806.17    0.30937044E-03    0.35376639E-05                 0       3.71548e-05
   810.50    0.29659007E-03    0.35628567E-05                 0       3.34223e-05
   814.83    0.30046298E-03    0.34976843E-05                 0       3.55989e-05
   819.17    0.28803331E-03    0.34150109E-05                 0        3.3467e-05
   823.50    0.28307084E-03    0.33092565E-05                 0       3.49803e-05
   827.83    0.26615082E-03    0.30778572E-05                 0       3.05514e-05

  ----   l-/lep. pT     ----

     1.67    0.91564630E-06    0.35322066E-06                 0       4.92053e-08
     5.00    0.18274205E-05    0.18270358E-05                 0       6.67026e-08
     8.33    0.37383550E-05    0.13259974E-05       2.27467e-08                 0
    11.67    0.26829962E-05    0.77662413E-06       1.84447e-07                 0
    15.00    0.62521476E-05    0.91057235E-06                 0       7.73422e-08
    18.33    0.44626861E-05    0.60243214E-06       4.35771e-07                 0
    21.67    0.94372740E-06    0.14900929E-06       2.54373e-07                 0
    25.00    0.40538842E-05    0.55065128E-06       5.61439e-07                 0
    28.33    0.32780286E-05    0.38694496E-06                 0       2.46067e-08
    31.67    0.16714059E-05    0.18621027E-06                 0       1.70281e-08
    35.00    0.30907613E-05    0.29546417E-06       7.41406e-07                 0
    38.33    0.26263713E-05    0.29059495E-06        4.1857e-07                 0
    41.67    0.42341890E-06    0.38245237E-07       4.59435e-08                 0
    45.00    0.81474850E-06    0.80434241E-07       1.01861e-07                 0
    48.33    0.27928484E-05    0.23775287E-06       3.50533e-07                 0
    51.67    0.34728091E-05    0.33717839E-06       1.12566e-06                 0
    55.00    0.50962654E-05    0.41525782E-06       4.96476e-07                 0
    58.33    0.21086934E-04    0.32554092E-05                 0       1.18052e-06
    61.67    0.22340618E-04    0.87713443E-05       2.96029e-07                 0
    65.00   -0.35731129E-04    0.34766287E-04       1.16141e-06                 0
    68.33    0.34365924E-04    0.86680264E-05                 0       3.45974e-06
    71.67    0.35478863E-04    0.92958912E-05                 0       3.19959e-06
    75.00    0.23169081E-04    0.38896870E-05       6.12318e-07                 0
    78.33    0.20156169E-04    0.39845503E-05                 0       4.77901e-07
    81.67    0.19869769E-04    0.24882814E-05                 0       1.09436e-06
