 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    83.000000000000000     
 Renormalization scale              =    83.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =    5.1099894610000002E-004
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.12245090122311637     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    81.000000000000000     
 Upper M limit for non-Zpole     =    86.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    81.000000000000000     
 Lepton-pair invariant mass maximum =    86.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    495.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    49.847319500643472
 Integration Error (pb)      =    0.17993687628458063
 PDF Error (pb)              +       0.30399
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         46.507538        0.26714407          0.460013                 0
    12.50         15.719207    0.57621768E-01          0.329022                 0
    20.83         5.9972528    0.20395640E-01          0.125467                 0
    29.17         3.2114334    0.11217144E-01         0.0702586                 0
    37.50         1.9444782    0.76048509E-02         0.0429531                 0
    45.83         1.2527754    0.54853975E-02         0.0284551                 0
    54.17        0.85563907    0.41872809E-02         0.0195094                 0
    62.50        0.59558595    0.32896011E-02         0.0139149                 0
    70.83        0.42204349    0.25780374E-02          0.010036                 0
    79.17        0.30356382    0.20414161E-02        0.00766749                 0
    87.50        0.22564888    0.16828605E-02          0.005591                 0
    95.83        0.16703078    0.13865709E-02        0.00429371                 0
   104.17        0.12524281    0.11281489E-02        0.00328683                 0
   112.50    0.98223788E-01    0.96674582E-03        0.00264101                 0
   120.83    0.74266748E-01    0.79325959E-03        0.00204266                 0
   129.17    0.56475465E-01    0.65571031E-03        0.00165836                 0
   137.50    0.46878116E-01    0.58895265E-03        0.00135978                 0
   145.83    0.36117009E-01    0.48274378E-03        0.00103512                 0
   154.17    0.28886612E-01    0.41468618E-03       0.000847247                 0
   162.50    0.23559226E-01    0.35935831E-03       0.000748295                 0
   170.83    0.18817649E-01    0.30523388E-03       0.000618781                 0
   179.17    0.16331738E-01    0.28702432E-03       0.000524638                 0
   187.50    0.12800090E-01    0.23617069E-03         0.0004026                 0
   195.83    0.10801541E-01    0.20998049E-03       0.000364882                 0
   204.17    0.92380377E-02    0.18931296E-03       0.000313292                 0
   212.50    0.77378318E-02    0.17046177E-03       0.000265875                 0
   220.83    0.63253609E-02    0.14387874E-03       0.000234633                 0
   229.17    0.57146137E-02    0.13874000E-03       0.000195727                 0
   237.50    0.46926081E-02    0.12322653E-03       0.000170345                 0
   245.83    0.41853157E-02    0.11026669E-03       0.000158169                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00    0.25735024E-01    0.37823504E-02        0.00378441                 0
    -4.33         1.3777433    0.91454834E-01          0.198583                 0
    -3.67         4.9801696        0.12486446          0.339252                 0
    -3.00         7.6448715        0.10225591          0.292067                 0
    -2.33         7.4623265    0.54310076E-01         0.0835886                 0
    -1.67         7.7957117    0.37996495E-01                 0         0.0123387
    -1.00         8.9647643    0.44883526E-01         0.0082414                 0
    -0.33         8.7189739    0.39242318E-01                 0          0.003438
     0.33         8.3435279    0.33202845E-01         0.0012603                 0
     1.00         8.6390065    0.39787986E-01         0.0083529                 0
     1.67         7.8108073    0.37317977E-01                 0         0.0088088
     2.33         7.2529858    0.50792597E-01         0.0881727                 0
     3.00         7.6286961        0.10127925          0.291001                 0
     3.67         4.9639758        0.12441404          0.339192                 0
     4.33         1.3840825    0.91350217E-01          0.198661                 0
     5.00    0.26155362E-01    0.37779946E-02        0.00379712                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    81.50         7.8380028    0.45005239E-01         0.0348662                 0
    82.50         9.7606613    0.56681013E-01          0.103189                 0
    83.50         11.843234    0.72932440E-01          0.274899                 0
    84.50         14.787067    0.88863943E-01          0.321928                 0
    85.50         24.769726        0.18076226           0.15075                 0

  ----   l-/lep. pT     ----

     1.67         1.9357344    0.39542140E-01                 0          0.564271
     5.00         1.6606183    0.85699802E-01         0.0118171                 0
     8.33         2.1792796    0.79299433E-01                 0         0.0034292
    11.67        0.22368285    0.46406376E-02                 0         0.0294099
    15.00        0.45651052    0.77883183E-02                 0         0.0500455
    18.33         1.3088106    0.17800762E-01         0.0072422                 0
    21.67        0.75477948    0.10689141E-01        0.00152321                 0
    25.00         1.4500345    0.23633591E-01         0.0077663                 0
    28.33         6.6514594        0.17518578          0.360512                 0
    31.67         8.2207173        0.17082086          0.193937                 0
    35.00         8.8798958        0.11453961          0.156308                 0
    38.33         10.843594        0.13804685          0.178841                 0
    41.67         7.6824828        0.11847101          0.148768                 0
    45.00         5.9401528    0.51723910E-01          0.138789                 0
    48.33         1.5684136    0.10460606E-01         0.0349301                 0
    51.67        0.90213676    0.62571300E-02         0.0224737                 0
    55.00        0.56920229    0.40657460E-02         0.0146455                 0
    58.33        0.40552913    0.32365186E-02         0.0116138                 0
    61.67        0.30094690    0.26496996E-02        0.00947503                 0
    65.00        0.22632916    0.21567726E-02        0.00719386                 0
    68.33        0.17260083    0.17960917E-02        0.00557004                 0
    71.67        0.13654134    0.15184589E-02         0.0046468                 0
    75.00        0.10926916    0.13235814E-02        0.00399851                 0
    78.33    0.90959709E-01    0.11823104E-02        0.00349852                 0
    81.67    0.75480505E-01    0.10839020E-02        0.00291321                 0
    85.00    0.60611369E-01    0.92583211E-03        0.00255767                 0
    88.33    0.51044024E-01    0.80865646E-03        0.00206887                 0
    91.67    0.43053567E-01    0.71835531E-03         0.0018727                 0
    95.00    0.36533686E-01    0.65036074E-03        0.00161402                 0
    98.33    0.30927748E-01    0.60930149E-03        0.00140372                 0

  ----   l-/lep. eta    ----

    -9.67    0.45488319E-01    0.45666740E-03                 0         0.0181053
    -9.00    0.50305598E-01    0.69398800E-03                 0         0.0198526
    -8.33    0.60319336E-01    0.50537997E-02                 0          0.020239
    -7.67    0.63314757E-01    0.59973520E-02                 0         0.0189187
    -7.00        0.12122381    0.18652148E-01                 0        0.00274163
    -6.33        0.20655766    0.25782368E-01         0.0124687                 0
    -5.67        0.34491389    0.90276627E-01         0.0300928                 0
    -5.00         1.2338166        0.11371415          0.236755                 0
    -4.33         2.5043882    0.69638905E-01          0.283565                 0
    -3.67         4.4793033    0.85125844E-01          0.319923                 0
    -3.00         6.5088590    0.96705093E-01          0.164525                 0
    -2.33         5.7614339    0.61031450E-01         0.0887799                 0
    -1.67         7.5524796    0.67835525E-01         0.0361347                 0
    -1.00         7.5952584    0.44503247E-01         0.0210504                 0
    -0.33         7.6488499    0.34444930E-01         0.0193161                 0
     0.33         8.0266496    0.38277329E-01         0.0078213                 0
     1.00         7.2906627    0.39310226E-01         0.0191285                 0
     1.67         6.3504499    0.60358888E-01         0.0458167                 0
     2.33         5.3382645    0.67986530E-01         0.0651689                 0
     3.00         6.5290722        0.10632454           0.16613                 0
     3.67         4.4386838    0.88434767E-01          0.316952                 0
     4.33         2.5187776    0.73882130E-01          0.285249                 0
     5.00         1.2394086        0.12540500          0.239903                 0
     5.67        0.32227907        0.10447181         0.0265203                 0
     6.33        0.20377115    0.31805359E-01         0.0110325                 0
     7.00        0.12068131    0.20972018E-01                 0        0.00244282
     7.67    0.69839108E-01    0.74586432E-02                 0         0.0181265
     8.33    0.61434856E-01    0.52483237E-02                 0         0.0198317
     9.00    0.50271129E-01    0.75324158E-03                 0         0.0198465
     9.67    0.45500022E-01    0.45722406E-03                 0         0.0180977

  ----   l+/neu. pT     ----

     1.67         1.9484439    0.39463899E-01                 0          0.564321
     5.00         1.8194781    0.84393304E-01         0.0197495                 0
