 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    1250.0000000000000     
 Renormalization scale              =    1250.0000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =    8.3746030886078210E-002
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    1000.0000000000000     
 Upper M limit for non-Zpole     =    1500.0000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    1000.0000000000000     
 Lepton-pair invariant mass maximum =    1500.0000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    741.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    7.3821002427059326E-003
 Integration Error (pb)      =    7.2546732264064270E-006
 PDF Error (pb)              +             0
                             -    0.00202989
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17    0.20628547E-02    0.26489828E-04                 0        0.00116641
    12.50    0.17003250E-02    0.21551634E-04                 0       0.000272081
    20.83    0.83935179E-03    0.87003002E-05                 0        0.00013374
    29.17    0.51787862E-03    0.48416010E-05                 0       8.31897e-05
    37.50    0.36132983E-03    0.33135448E-05                 0       5.79346e-05
    45.83    0.27026743E-03    0.24418226E-05                 0       4.33556e-05
    54.17    0.21057734E-03    0.19034513E-05                 0       3.42845e-05
    62.50    0.16787246E-03    0.15266466E-05                 0       2.72507e-05
    70.83    0.13932441E-03    0.12634372E-05                 0       2.29159e-05
    79.17    0.11728089E-03    0.10600601E-05                 0       1.92626e-05
    87.50    0.98189188E-04    0.89989226E-06                 0       1.62359e-05
    95.83    0.82974670E-04    0.76109645E-06                 0        1.3683e-05
   104.17    0.74507113E-04    0.68755633E-06                 0       1.23911e-05
   112.50    0.64140828E-04    0.60141257E-06                 0       1.07032e-05
   120.83    0.57105676E-04    0.53955549E-06                 0       9.49226e-06
   129.17    0.49309225E-04    0.46961354E-06                 0       8.20805e-06
   137.50    0.45100190E-04    0.42810124E-06                 0       7.53164e-06
   145.83    0.40121051E-04    0.38924220E-06                 0       6.68288e-06
   154.17    0.35355610E-04    0.34520902E-06                 0       5.90765e-06
   162.50    0.32207740E-04    0.32086131E-06                 0       5.41881e-06
   170.83    0.29608311E-04    0.29331962E-06                 0       4.98349e-06
   179.17    0.26789492E-04    0.26789812E-06                 0       4.47526e-06
   187.50    0.24616401E-04    0.25368810E-06                 0       4.15265e-06
   195.83    0.22451626E-04    0.23192976E-06                 0       3.82284e-06
   204.17    0.20479713E-04    0.22104584E-06                 0       3.52562e-06
   212.50    0.18471983E-04    0.19540359E-06                 0        3.1342e-06
   220.83    0.17105627E-04    0.18360335E-06                 0       2.96122e-06
   229.17    0.15821281E-04    0.16664552E-06                 0       2.69508e-06
   237.50    0.14771138E-04    0.15945838E-06                 0       2.54081e-06
   245.83    0.13803364E-04    0.15232969E-06                 0       2.38429e-06

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00         0.0000000    0.10000000E-09                 0                 0
    -4.33         0.0000000    0.10000000E-09                 0                 0
    -3.67         0.0000000    0.10000000E-09                 0                 0
    -3.00         0.0000000    0.10000000E-09                 0                 0
    -2.33    0.17016417E-04    0.23740503E-06                 0       6.58162e-06
    -1.67    0.48139014E-03    0.22896640E-05                 0        0.00016336
    -1.00    0.13737434E-02    0.32981608E-05                 0       0.000397209
    -0.33    0.18202439E-02    0.24573801E-05                 0       0.000447966
     0.33    0.18183499E-02    0.24196294E-05                 0       0.000447781
     1.00    0.13742773E-02    0.32129466E-05                 0        0.00039737
     1.67    0.47996888E-03    0.22391045E-05                 0       0.000163013
     2.33    0.17110243E-04    0.23412232E-06                 0       6.61082e-06
     3.00         0.0000000    0.10000000E-09                 0                 0
     3.67         0.0000000    0.10000000E-09                 0                 0
     4.33         0.0000000    0.10000000E-09                 0                 0
     5.00         0.0000000    0.10000000E-09                 0                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

  1008.33    0.59974246E-03    0.34757637E-05                 0       0.000158411
  1025.00    0.55721371E-03    0.30081289E-05                 0       0.000147458
  1041.67    0.51512844E-03    0.28657125E-05                 0       0.000136563
  1058.33    0.47380231E-03    0.27395797E-05                 0       0.000126638
  1075.00    0.43647020E-03    0.26351129E-05                 0        0.00011674
  1091.67    0.40224460E-03    0.24801369E-05                 0       0.000108737
  1108.33    0.37479614E-03    0.22980055E-05                 0       0.000101331
  1125.00    0.34488081E-03    0.22027977E-05                 0       9.35281e-05
  1141.67    0.31810969E-03    0.22579016E-05                 0       8.70581e-05
  1158.33    0.29660717E-03    0.22046684E-05                 0       8.14604e-05
  1175.00    0.27729850E-03    0.21360021E-05                 0       7.65781e-05
  1191.67    0.25561686E-03    0.20440125E-05                 0       7.06004e-05
  1208.33    0.23976500E-03    0.19596327E-05                 0       6.67046e-05
  1225.00    0.21909168E-03    0.18999203E-05                 0       6.13991e-05
  1241.67    0.20604450E-03    0.18429809E-05                 0        5.7452e-05
  1258.33    0.19271499E-03    0.18124599E-05                 0       5.42724e-05
  1275.00    0.17632409E-03    0.17277269E-05                 0       5.04454e-05
  1291.67    0.16694742E-03    0.16541067E-05                 0       4.73812e-05
  1308.33    0.15282575E-03    0.15794624E-05                 0       4.33435e-05
  1325.00    0.14692364E-03    0.15334333E-05                 0       4.22953e-05
  1341.67    0.13658273E-03    0.15125217E-05                 0       3.94774e-05
  1358.33    0.12789471E-03    0.14316666E-05                 0       3.70725e-05
  1375.00    0.11704083E-03    0.13604773E-05                 0       3.38057e-05
  1391.67    0.11258989E-03    0.13308401E-05                 0        3.2727e-05
  1408.33    0.10503622E-03    0.12974262E-05                 0       3.07833e-05
  1425.00    0.96912242E-04    0.12509023E-05                 0       2.85681e-05
  1441.67    0.92511496E-04    0.11813488E-05                 0       2.71635e-05
  1458.33    0.84271662E-04    0.11470909E-05                 0       2.52391e-05
  1475.00    0.81467670E-04    0.11322141E-05                 0       2.41265e-05
  1491.67    0.75244855E-04    0.11387465E-05                 0       2.25326e-05

  ----   l-/lep. pT     ----

     1.67    0.88334734E-03    0.11881056E-05                 0       0.000528781
     5.00    0.17639058E-03    0.73880858E-06                 0       0.000105562
     8.33    0.10487403E-03    0.65619380E-06                 0        6.2345e-05
    11.67    0.75034964E-04    0.67702547E-06                 0       4.42034e-05
    15.00    0.58458384E-04    0.61041423E-06                 0       3.43569e-05
    18.33    0.48017904E-04    0.51287347E-06                 0       2.80781e-05
    21.67    0.40581115E-04    0.54430257E-06                 0       2.31723e-05
    25.00    0.35689842E-04    0.48334543E-06                 0        2.0304e-05
    28.33    0.32441974E-04    0.56795077E-06                 0       1.81966e-05
    31.67    0.28994871E-04    0.62794344E-06                 0       1.60963e-05
    35.00    0.25476848E-04    0.11689709E-05                 0       1.43402e-05
    38.33    0.27360870E-04    0.12825550E-05                 0       1.38514e-05
    41.67    0.23576221E-04    0.71503308E-06                 0       1.25404e-05
    45.00    0.22487018E-04    0.56996892E-06                 0       1.16942e-05
    48.33    0.22018979E-04    0.85000577E-06                 0       1.09312e-05
    51.67    0.20296960E-04    0.12130953E-05                 0       9.98785e-06
    55.00    0.17670308E-04    0.18520987E-05                 0       9.17684e-06
    58.33    0.23461755E-04    0.25862106E-05                 0       9.85158e-06
    61.67    0.20330799E-04    0.31744097E-05                 0        8.9134e-06
    65.00    0.14093812E-04    0.22575937E-05                 0       7.48149e-06
    68.33    0.13594593E-04    0.24639021E-05                 0         6.945e-06
    71.67    0.17868615E-04    0.16640034E-05                 0       7.53833e-06
    75.00    0.16274564E-04    0.14660337E-05                 0       6.95552e-06
