 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    108.00000000000000     
 Renormalization scale              =    108.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11716114907506936     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    106.00000000000000     
 Upper M limit for non-Zpole     =    110.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    106.00000000000000     
 Lepton-pair invariant mass maximum =    110.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    661.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    10.053199645335877
 Integration Error (pb)      =    5.0168834081046054E-002
 PDF Error (pb)              +     0.0176066
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         4.3635152    0.51869488E-01                 0         0.0524348
    12.50         2.6103840    0.11644351E-01         0.0301987                 0
    20.83         1.1190727    0.46705753E-02         0.0135453                 0
    29.17        0.61560697    0.26742087E-02        0.00726874                 0
    37.50        0.37914358    0.17378163E-02        0.00485963                 0
    45.83        0.25449166    0.12900766E-02        0.00343996                 0
    54.17        0.17546255    0.96984879E-03        0.00243286                 0
    62.50        0.12495500    0.75516119E-03        0.00174596                 0
    70.83    0.91868098E-01    0.61024293E-03        0.00133424                 0
    79.17    0.68612969E-01    0.49991326E-03        0.00103931                 0
    87.50    0.51802774E-01    0.41412193E-03       0.000796074                 0
    95.83    0.39084758E-01    0.34112507E-03       0.000606929                 0
   104.17    0.30347979E-01    0.28445784E-03       0.000484208                 0
   112.50    0.23843945E-01    0.24504311E-03       0.000397798                 0
   120.83    0.18860209E-01    0.20958409E-03       0.000320736                 0
   129.17    0.14921162E-01    0.17947603E-03       0.000237081                 0
   137.50    0.11945492E-01    0.15313254E-03       0.000203063                 0
   145.83    0.98794994E-02    0.13641829E-03       0.000171688                 0
   154.17    0.79788849E-02    0.11829674E-03       0.000139495                 0
   162.50    0.62265053E-02    0.10112522E-03       0.000109189                 0
   170.83    0.52169651E-02    0.88428970E-04       9.79813e-05                 0
   179.17    0.43509856E-02    0.79743162E-04       8.11724e-05                 0
   187.50    0.36109928E-02    0.69485083E-04       6.92419e-05                 0
   195.83    0.29659404E-02    0.59830603E-04        6.0117e-05                 0
   204.17    0.25152464E-02    0.54121284E-04       4.81479e-05                 0
   212.50    0.21365425E-02    0.49592457E-04       3.91449e-05                 0
   220.83    0.17892354E-02    0.43175448E-04       3.55706e-05                 0
   229.17    0.16182069E-02    0.40184732E-04       3.32962e-05                 0
   237.50    0.12890132E-02    0.34268552E-04       2.65395e-05                 0
   245.83    0.11001315E-02    0.31288783E-04       2.60246e-05                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00    0.23870425E-04    0.93740570E-05       7.16195e-06                 0
    -4.33    0.57991399E-01    0.10144913E-01        0.00788145                 0
    -3.67        0.40949065    0.14715259E-01         0.0145723                 0
    -3.00        0.75820116    0.13795040E-01        0.00987426                 0
    -2.33        0.88067476    0.79052385E-02         0.0007668                 0
    -1.67        0.95423473    0.46808861E-02                 0        0.00598338
    -1.00        0.97822677    0.33258425E-02                 0        0.00859321
    -0.33        0.98885266    0.27797172E-02                 0        0.00972769
     0.33        0.99134996    0.27467239E-02                 0        0.00970637
     1.00        0.97587045    0.31680828E-02                 0        0.00860677
     1.67        0.95341606    0.45025850E-02                 0        0.00596684
     2.33        0.88152995    0.77687041E-02        0.00068523                 0
     3.00        0.75538343    0.13707560E-01        0.00989183                 0
     3.67        0.41020410    0.14677294E-01         0.0145766                 0
     4.33    0.57723516E-01    0.10140120E-01         0.0079275                 0
     5.00    0.26169281E-04    0.93490176E-05       7.72374e-06                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

   106.50         2.9690286    0.27807106E-01         0.0141715                 0
   107.50         2.6361653    0.24186573E-01         0.0045611                 0
   108.50         2.3247299    0.27619231E-01         0.0104404                 0
   109.50         2.1232759    0.20024382E-01                 0         0.0115664

  ----   l-/lep. pT     ----

     1.67        0.19837179    0.33715560E-02                 0         0.0723887
     5.00        0.10456288    0.94955077E-02                 0         0.0131396
     8.33        0.10847748    0.48659925E-01                 0        0.00524764
    11.67        0.24552174    0.49097683E-01                 0        0.00293198
    15.00        0.13733179        0.10135331        0.00337109                 0
    18.33        0.40245730        0.10145208                 0        0.00253366
    21.67        0.38090482    0.26478938E-01        0.00372659                 0
    25.00        0.38626022    0.26796486E-01        0.00425481                 0
    28.33        0.49150148    0.61995179E-01        0.00331715                 0
    31.67        0.52831739    0.63253705E-01        0.00686008                 0
    35.00        0.63244010    0.32055622E-01         0.0169921                 0
    38.33        0.65888994    0.25207718E-01        0.00899622                 0
    41.67        0.75216011    0.22260819E-01         0.0103847                 0
    45.00        0.90303462    0.34077647E-01         0.0137574                 0
    48.33        0.98635297    0.36487293E-01         0.0131021                 0
    51.67         1.1010690    0.40920174E-01         0.0091486                 0
    55.00        0.89981410    0.33784075E-01          0.011001                 0
    58.33        0.38670478    0.34868497E-02         0.0042297                 0
    61.67        0.19048672    0.16763015E-02        0.00184261                 0
    65.00        0.12031240    0.10749795E-02        0.00106133                 0
    68.33    0.84318019E-01    0.83485657E-03       0.000613666                 0
    71.67    0.61249438E-01    0.62541112E-03       0.000435271                 0
    75.00    0.47214303E-01    0.53589207E-03       0.000252171                 0
    78.33    0.37962259E-01    0.46550227E-03       0.000169498                 0
    81.67    0.29734554E-01    0.39481821E-03       0.000133768                 0
    85.00    0.25010907E-01    0.35766746E-03        8.3751e-05                 0
    88.33    0.19864081E-01    0.30211269E-03        6.4522e-05                 0
    91.67    0.16860390E-01    0.27222357E-03        5.2567e-05                 0
    95.00    0.13970202E-01    0.23911640E-03         3.029e-05                 0
    98.33    0.11799306E-01    0.21701680E-03         2.893e-05                 0

  ----   l-/lep. eta    ----

    -9.67    0.12992105E-02    0.96574796E-04                 0       0.000676457
    -9.00    0.27018922E-02    0.10119306E-03                 0        0.00125312
    -8.33    0.58237042E-02    0.93150884E-03                 0        0.00204268
    -7.67    0.62548802E-02    0.49239578E-03                 0        0.00259533
    -7.00    0.14346364E-01    0.21639810E-02                 0        0.00365452
    -6.33    0.28065037E-01    0.42459607E-02                 0        0.00460383
    -5.67    0.47073332E-01    0.57947374E-02                 0        0.00552691
    -5.00        0.14842749    0.13281648E-01                 0        0.00334295
    -4.33        0.32710925    0.11855180E-01                 0         0.0117588
    -3.67        0.52200868    0.15546808E-01                 0         0.0048466
    -3.00        0.67518758    0.13137498E-01        0.00704698                 0
    -2.33        0.74344275    0.90127894E-02         0.0137628                 0
    -1.67        0.78833161    0.81894445E-02         0.0127519                 0
    -1.00        0.85073129    0.43341872E-02        0.00938505                 0
    -0.33        0.86729922    0.36010889E-02        0.00645272                 0
     0.33        0.86725493    0.42676438E-02        0.00660521                 0
     1.00        0.84739021    0.56192194E-02        0.00904653                 0
     1.67        0.78672277    0.16702470E-01         0.0127664                 0
     2.33        0.74597548    0.17560469E-01         0.0138247                 0
     3.00        0.68179549    0.16341389E-01        0.00706085                 0
     3.67        0.51432148    0.17841898E-01                 0        0.00481404
     4.33        0.32932251    0.12293569E-01                 0         0.0117977
     5.00        0.14451751    0.13657940E-01                 0        0.00324465
     5.67    0.47768382E-01    0.67724731E-02                 0         0.0055553
     6.33    0.29591236E-01    0.52930761E-02                 0        0.00463732
     7.00    0.13313644E-01    0.25974119E-02                 0        0.00364111
     7.67    0.63997433E-02    0.12046551E-02                 0         0.0026008
