 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    108.00000000000000     
 Renormalization scale              =    108.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11716114907506936     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    106.00000000000000     
 Upper M limit for non-Zpole     =    110.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    106.00000000000000     
 Lepton-pair invariant mass maximum =    110.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    462.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    9.7292139167538210
 Integration Error (pb)      =    4.9776049231906781E-002
 PDF Error (pb)              +      0.153703
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         4.0395295    0.51489362E-01         0.0836616                 0
    12.50         2.6103840    0.11644351E-01         0.0301987                 0
    20.83         1.1190727    0.46705753E-02         0.0135453                 0
    29.17        0.61560697    0.26742087E-02        0.00726874                 0
    37.50        0.37914358    0.17378163E-02        0.00485963                 0
    45.83        0.25449166    0.12900766E-02        0.00343996                 0
    54.17        0.17546255    0.96984879E-03        0.00243286                 0
    62.50        0.12495500    0.75516119E-03        0.00174596                 0
    70.83    0.91868098E-01    0.61024293E-03        0.00133424                 0
    79.17    0.68612969E-01    0.49991326E-03        0.00103931                 0
    87.50    0.51802774E-01    0.41412193E-03       0.000796074                 0
    95.83    0.39084758E-01    0.34112507E-03       0.000606929                 0
   104.17    0.30347979E-01    0.28445784E-03       0.000484208                 0
   112.50    0.23843945E-01    0.24504311E-03       0.000397798                 0
   120.83    0.18860209E-01    0.20958409E-03       0.000320736                 0
   129.17    0.14921162E-01    0.17947603E-03       0.000237081                 0
   137.50    0.11945492E-01    0.15313254E-03       0.000203063                 0
   145.83    0.98794994E-02    0.13641829E-03       0.000171688                 0
   154.17    0.79788849E-02    0.11829674E-03       0.000139495                 0
   162.50    0.62265053E-02    0.10112522E-03       0.000109189                 0
   170.83    0.52169651E-02    0.88428970E-04       9.79813e-05                 0
   179.17    0.43509856E-02    0.79743162E-04       8.11724e-05                 0
   187.50    0.36109928E-02    0.69485083E-04       6.92419e-05                 0
   195.83    0.29659404E-02    0.59830603E-04        6.0117e-05                 0
   204.17    0.25152464E-02    0.54121284E-04       4.81479e-05                 0
   212.50    0.21365425E-02    0.49592457E-04       3.91449e-05                 0
   220.83    0.17892354E-02    0.43175448E-04       3.55706e-05                 0
   229.17    0.16182069E-02    0.40184732E-04       3.32962e-05                 0
   237.50    0.12890132E-02    0.34268552E-04       2.65395e-05                 0
   245.83    0.11001315E-02    0.31288783E-04       2.60246e-05                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00    0.23857714E-04    0.93277275E-05       7.18741e-06                 0
    -4.33    0.56884857E-01    0.10130827E-01        0.00854814                 0
    -3.67        0.40113384    0.14600679E-01         0.0189494                 0
    -3.00        0.73926736    0.13654904E-01         0.0188136                 0
    -2.33        0.85368625    0.77920341E-02         0.0125039                 0
    -1.67        0.92143405    0.46146023E-02         0.0074679                 0
    -1.00        0.94206299    0.32997912E-02        0.00568907                 0
    -0.33        0.95120993    0.27712269E-02        0.00486684                 0
     0.33        0.95370723    0.27381045E-02        0.00488816                 0
     1.00        0.93970667    0.31406938E-02        0.00567551                 0
     1.67        0.92061538    0.44336075E-02        0.00748445                 0
     2.33        0.85454145    0.76533710E-02         0.0124223                 0
     3.00        0.73644963    0.13566541E-01         0.0188312                 0
     3.67        0.40184729    0.14562407E-01         0.0189537                 0
     4.33    0.56616973E-01    0.10126023E-01        0.00859419                 0
     5.00    0.26156570E-04    0.93025640E-05        7.7492e-06                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

   106.50         2.8836625    0.27571367E-01          0.049961                 0
   107.50         2.5540986    0.23959378E-01          0.038986                 0
   108.50         2.2455453    0.27452225E-01         0.0437113                 0
   109.50         2.0459075    0.19802390E-01         0.0210449                 0

  ----   l-/lep. pT     ----

     1.67    0.24155038E-01    0.33142462E-02        0.00079365                 0
     5.00    0.69721889E-01    0.94926316E-02        0.00148627                 0
     8.33    0.87868897E-01    0.48659601E-01        0.00341963                 0
    11.67        0.23113643    0.49097542E-01        0.00310332                 0
    15.00        0.12616685        0.10135321        0.00806569                 0
    18.33        0.39307545        0.10145203        0.00141289                 0
    21.67        0.37314506    0.26478772E-01        0.00698485                 0
    25.00        0.37941585    0.26796340E-01        0.00713276                 0
    28.33        0.48561443    0.61995143E-01        0.00578081                 0
    31.67        0.52297228    0.63253661E-01        0.00910837                 0
    35.00        0.62749679    0.32055539E-01         0.0190709                 0
    38.33        0.65431000    0.25207627E-01         0.0109173                 0
    41.67        0.74770461    0.22260764E-01           0.01226                 0
    45.00        0.89865607    0.34077613E-01          0.015594                 0
    48.33        0.98160239    0.36487335E-01         0.0150988                 0
    51.67         1.0942183    0.40918195E-01         0.0120216                 0
    55.00        0.89622163    0.33779116E-01          0.012516                 0
    58.33        0.38670478    0.34868497E-02         0.0042297                 0
    61.67        0.19048672    0.16763015E-02        0.00184261                 0
    65.00        0.12031240    0.10749795E-02        0.00106133                 0
    68.33    0.84318019E-01    0.83485657E-03       0.000613666                 0
    71.67    0.61249438E-01    0.62541112E-03       0.000435271                 0
    75.00    0.47214303E-01    0.53589207E-03       0.000252171                 0
    78.33    0.37962259E-01    0.46550227E-03       0.000169498                 0
    81.67    0.29734554E-01    0.39481821E-03       0.000133768                 0
    85.00    0.25010907E-01    0.35766746E-03        8.3751e-05                 0
    88.33    0.19864081E-01    0.30211269E-03        6.4522e-05                 0
    91.67    0.16860390E-01    0.27222357E-03        5.2567e-05                 0
    95.00    0.13970202E-01    0.23911640E-03         3.029e-05                 0
    98.33    0.11799306E-01    0.21701680E-03         2.893e-05                 0

  ----   l-/lep. eta    ----

    -9.67   -0.58912765E-04    0.67989760E-04                 0       3.80811e-06
    -9.00   -0.92146664E-04    0.61088095E-04       4.94678e-05                 0
    -8.33    0.13478727E-02    0.92767541E-03                 0       4.63279e-05
    -7.67    0.77936276E-05    0.48496931E-03       9.45625e-05                 0
    -7.00    0.61125340E-02    0.21623237E-02                 0       0.000194808
    -6.33    0.17837568E-01    0.42451493E-02                 0       0.000363466
    -5.67    0.35010931E-01    0.57941766E-02                 0       0.000562409
    -5.00        0.13476856    0.13281495E-01        0.00225882                 0
    -4.33        0.31217735    0.11854635E-01                 0        0.00561601
    -3.67        0.50661884    0.15544118E-01        0.00151056                 0
    -3.00        0.66005448    0.13133569E-01         0.0133415                 0
    -2.33        0.72873686    0.90039269E-02         0.0199129                 0
    -1.67        0.77390756    0.81830244E-02         0.0188324                 0
    -1.00        0.83679790    0.43317872E-02         0.0152901                 0
    -0.33        0.85337526    0.36013121E-02         0.0123755                 0
     0.33        0.85333097    0.42678820E-02          0.012528                 0
     1.00        0.83345682    0.56173697E-02         0.0149516                 0
     1.67        0.77229872    0.16699312E-01         0.0188469                 0
     2.33        0.73126959    0.17555923E-01         0.0199748                 0
     3.00        0.66666239    0.16338256E-01         0.0133553                 0
     3.67        0.49893164    0.17839550E-01        0.00154312                 0
     4.33        0.31439061    0.12293010E-01                 0        0.00565492
     5.00        0.13085859    0.13657781E-01        0.00235711                 0
     5.67    0.35705981E-01    0.67719899E-02                 0       0.000590807
     6.33    0.19363767E-01    0.52925188E-02                 0       0.000396963
     7.00    0.50798141E-02    0.25960308E-02                 0         0.0001814
     7.67    0.15265670E-03    0.12016485E-02       8.90918e-05                 0
