 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    112.00000000000000     
 Renormalization scale              =    112.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11646631109795247     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    110.00000000000000     
 Upper M limit for non-Zpole     =    115.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    110.00000000000000     
 Lepton-pair invariant mass maximum =    115.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    442.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    8.0485292239437651
 Integration Error (pb)      =    3.9088334403421278E-002
 PDF Error (pb)              +   3.19744e-14
                             -     0.0893287
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         3.4968935    0.40502961E-01                 0           0.11021
    12.50         2.0713404    0.94004990E-02         0.0082732                 0
    20.83        0.89127139    0.37698664E-02        0.00404172                 0
    29.17        0.49389101    0.21650077E-02        0.00199663                 0
    37.50        0.30505030    0.14154328E-02        0.00150771                 0
    45.83        0.20398315    0.10302088E-02        0.00116593                 0
    54.17        0.14274180    0.78704467E-03        0.00085912                 0
    62.50        0.10171427    0.61326217E-03        0.00060382                 0
    70.83    0.75042075E-01    0.49317808E-03       0.000478203                 0
    79.17    0.56578059E-01    0.40756764E-03       0.000389543                 0
    87.50    0.42621241E-01    0.33337103E-03        0.00028852                 0
    95.83    0.32792788E-01    0.28204764E-03       0.000228067                 0
   104.17    0.25258472E-01    0.23199490E-03       0.000183522                 0
   112.50    0.19953679E-01    0.20198080E-03       0.000143053                 0
   120.83    0.15761962E-01    0.17005737E-03       0.000128865                 0
   129.17    0.12710712E-01    0.14936221E-03        9.8711e-05                 0
   137.50    0.99564332E-02    0.12504406E-03       6.83088e-05                 0
   145.83    0.83302196E-02    0.11246167E-03       6.05544e-05                 0
   154.17    0.68052618E-02    0.97053262E-04       5.92918e-05                 0
   162.50    0.55213222E-02    0.85945117E-04       4.01352e-05                 0
   170.83    0.44088785E-02    0.73891200E-04       3.04224e-05                 0
   179.17    0.36999219E-02    0.64914272E-04       3.44742e-05                 0
   187.50    0.31197784E-02    0.58915441E-04        2.5222e-05                 0
   195.83    0.25880354E-02    0.50935599E-04       2.33501e-05                 0
   204.17    0.21500548E-02    0.44549777E-04        2.1232e-05                 0
   212.50    0.18307822E-02    0.40586303E-04       1.53996e-05                 0
   220.83    0.15822917E-02    0.37616923E-04       1.10887e-05                 0
   229.17    0.13089250E-02    0.32330707E-04       1.10408e-05                 0
   237.50    0.12015937E-02    0.30284553E-04       1.17278e-05                 0
   245.83    0.96886677E-03    0.26401985E-04       8.24423e-06                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00    0.28749821E-05    0.26662811E-05       1.33137e-06                 0
    -4.33    0.39186304E-01    0.72374316E-02        0.00391928                 0
    -3.67        0.31480051    0.11414157E-01        0.00155266                 0
    -3.00        0.60178840    0.11142038E-01                 0        0.00392704
    -2.33        0.71177318    0.64150671E-02                 0         0.0083877
    -1.67        0.77056496    0.37548870E-02                 0         0.0118497
    -1.00        0.78989447    0.26068238E-02                 0         0.0127704
    -0.33        0.79713946    0.21493045E-02                 0          0.013218
     0.33        0.79869551    0.21261414E-02                 0         0.0132015
     1.00        0.78825682    0.24826162E-02                 0         0.0127779
     1.67        0.77070651    0.36135125E-02                 0          0.011812
     2.33        0.71151142    0.63075002E-02                 0        0.00850048
     3.00        0.60065592    0.11074059E-01                 0        0.00380478
     3.67        0.31415625    0.11385103E-01        0.00147643                 0
     4.33    0.39394350E-01    0.72342182E-02        0.00396971                 0
     5.00    0.22672178E-05    0.26489010E-05       1.37733e-06                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

   110.50         1.9184096    0.19488899E-01                 0         0.0133615
   111.50         1.7511588    0.18351361E-01                 0         0.0160024
   112.50         1.5889596    0.16113411E-01                 0         0.0196418
   113.50         1.4318784    0.18573163E-01                 0         0.0130327
   114.50         1.3581230    0.14241506E-01                 0         0.0272904

  ----   l-/lep. pT     ----

     1.67        0.20509747    0.27019150E-02                 0         0.0786151
     5.00    0.88848265E-01    0.78412529E-02                 0         0.0151092
     8.33        0.13742641    0.70566901E-01                 0        0.00690763
    11.67        0.13632692    0.71333882E-01                 0        0.00650509
    15.00        0.15678016    0.20103243E-01                 0        0.00225276
    18.33        0.25538756    0.19661422E-01                 0        0.00344311
    21.67        0.24514162    0.15335047E-01        0.00063885                 0
    25.00        0.30207472    0.21512393E-01        0.00035283                 0
    28.33        0.34131067    0.22342219E-01                 0        0.00164527
    31.67        0.39602210    0.18345756E-01        0.00036193                 0
    35.00        0.44675525    0.20366002E-01        0.00012932                 0
    38.33        0.47497178    0.23741780E-01         0.0120349                 0
    41.67        0.58483836    0.19203280E-01                 0        0.00021027
    45.00        0.57843577    0.20821329E-01        0.00578753                 0
    48.33        0.74996976    0.29622326E-01        0.00204572                 0
    51.67        0.87984159    0.38803204E-01        0.00297609                 0
    55.00        0.47846745        0.19727237                 0        0.00149248
    58.33        0.82418669        0.19442587        0.00356449                 0
    61.67        0.22936850    0.20233878E-02        0.00062295                 0
    65.00        0.12658332    0.11162675E-02        0.00018771                 0
    68.33    0.83331149E-01    0.77717940E-03        2.2952e-05                 0
    71.67    0.59866850E-01    0.61800021E-03                 0        8.3629e-05
    75.00    0.44402025E-01    0.46438376E-03                 0        7.7886e-05
    78.33    0.34638264E-01    0.40605810E-03                 0       0.000131259
    81.67    0.28118589E-01    0.35346963E-03                 0       0.000141154
    85.00    0.22241133E-01    0.30257377E-03                 0       0.000113147
    88.33    0.18731314E-01    0.27229200E-03                 0       0.000111988
    91.67    0.15119266E-01    0.23914384E-03                 0       0.000101955
    95.00    0.12828737E-01    0.20843858E-03                 0        8.6418e-05
    98.33    0.10766914E-01    0.18966495E-03                 0        8.0078e-05

  ----   l-/lep. eta    ----

    -9.67    0.14396328E-02    0.90409632E-04                 0       0.000738553
    -9.00    0.29660255E-02    0.93899654E-04                 0         0.0013791
    -8.33    0.59517036E-02    0.75774201E-03                 0         0.0022344
    -7.67    0.68478884E-02    0.30512377E-03                 0        0.00288363
    -7.00    0.13294470E-01    0.16043095E-02                 0        0.00404039
    -6.33    0.24992393E-01    0.31686884E-02                 0        0.00540274
    -5.67    0.40119361E-01    0.43800314E-02                 0        0.00644824
    -5.00        0.12052457    0.99644297E-02                 0        0.00747904
    -4.33        0.26353545    0.94605864E-02                 0         0.0164558
    -3.67        0.42998870    0.12637965E-01                 0         0.0139733
    -3.00        0.54072595    0.10662440E-01                 0        0.00342864
    -2.33        0.58971457    0.59217904E-02        0.00493436                 0
    -1.67        0.62547248    0.50400944E-02        0.00666024                 0
    -1.00        0.67369338    0.32986387E-02        0.00523312                 0
    -0.33        0.68543689    0.27284108E-02        0.00328298                 0
     0.33        0.68701778    0.33212207E-02        0.00336292                 0
     1.00        0.67041125    0.43250894E-02        0.00496605                 0
     1.67        0.62502966    0.95687812E-02        0.00666494                 0
     2.33        0.59137712    0.10582003E-01        0.00497536                 0
     3.00        0.54356937    0.13067624E-01                 0        0.00336464
     3.67        0.42568094    0.14341747E-01                 0          0.013949
     4.33        0.26508731    0.98307397E-02                 0         0.0164843
     5.00        0.11920532    0.10256351E-01                 0        0.00745081
     5.67    0.40207192E-01    0.48971476E-02                 0        0.00647354
     6.33    0.25098829E-01    0.36380180E-02                 0        0.00537666
     7.00    0.12775664E-01    0.19509270E-02                 0        0.00402851
