 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    117.00000000000000     
 Renormalization scale              =    117.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11563983525244699     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    115.00000000000000     
 Upper M limit for non-Zpole     =    120.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    115.00000000000000     
 Lepton-pair invariant mass maximum =    120.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    791.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    5.1042536924479540
 Integration Error (pb)      =    2.5224709653082898E-002
 PDF Error (pb)              +             0
                             -    0.00499301
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         2.0481660    0.26233601E-01         0.0062404                 0
    12.50         1.3788000    0.63244019E-02                 0         0.0056323
    20.83        0.59534022    0.25328843E-02                 0        0.00212415
    29.17        0.33183033    0.14741067E-02                 0        0.00137502
    37.50        0.20633680    0.96371251E-03                 0        0.00076115
    45.83        0.13810730    0.69817573E-03                 0        0.00040713
    54.17    0.97053023E-01    0.53333881E-03                 0       0.000211071
    62.50    0.69617476E-01    0.41591557E-03                 0       0.000165883
    70.83    0.51564231E-01    0.33446862E-03                 0       0.000132674
    79.17    0.38919736E-01    0.27813610E-03                 0        7.8392e-05
    87.50    0.29587020E-01    0.22790228E-03                 0        6.2049e-05
    95.83    0.23081455E-01    0.19451858E-03                 0        4.7106e-05
   104.17    0.17670966E-01    0.16187828E-03                 0        4.5717e-05
   112.50    0.13964909E-01    0.13556584E-03                 0        2.7508e-05
   120.83    0.11241722E-01    0.12054691E-03                 0        2.0888e-05
   129.17    0.89155759E-02    0.10138616E-03                 0       1.77518e-05
   137.50    0.72699799E-02    0.89430648E-04                 0       1.53707e-05
   145.83    0.57564383E-02    0.76035242E-04                 0       1.77403e-05
   154.17    0.48876867E-02    0.68839926E-04                 0        1.5918e-05
   162.50    0.40193897E-02    0.58943416E-04                 0        6.2721e-06
   170.83    0.32732912E-02    0.53036273E-04                 0       1.17851e-05
   179.17    0.26476647E-02    0.45743927E-04                 0       1.07105e-05
   187.50    0.22307927E-02    0.40381870E-04                 0        2.8715e-06
   195.83    0.18944643E-02    0.36697387E-04                 0         5.829e-06
   204.17    0.15904715E-02    0.32180788E-04                 0        3.8777e-06
   212.50    0.13189603E-02    0.27969499E-04                 0        1.9284e-06
   220.83    0.11404003E-02    0.25621426E-04                 0        3.1206e-06
   229.17    0.97651286E-03    0.23644521E-04                 0       4.76431e-06
   237.50    0.83864808E-03    0.20868173E-04                 0       3.71408e-06
   245.83    0.73972967E-03    0.19260166E-04                 0        6.9872e-07

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00   -0.83337955E-06    0.53848137E-06       3.85266e-08                 0
    -4.33    0.20962922E-01    0.42097879E-02        0.00176323                 0
    -3.67        0.19381917    0.72585148E-02                 0        0.00162071
    -3.00        0.38462151    0.74083748E-02                 0        0.00309348
    -2.33        0.45653061    0.42897782E-02                 0        0.00120477
    -1.67        0.49154905    0.25007836E-02                 0        0.00027045
    -1.00        0.50051801    0.17354041E-02        0.00078317                 0
    -0.33        0.50471399    0.14511331E-02        0.00113061                 0
     0.33        0.50550682    0.14365047E-02        0.00113931                 0
     1.00        0.49949868    0.16552635E-02        0.00077648                 0
     1.67        0.49178278    0.24092250E-02                 0        0.00025555
     2.33        0.45608782    0.42192502E-02                 0        0.00122021
     3.00        0.38375475    0.73630439E-02                 0        0.00306748
     3.67        0.19426790    0.72379370E-02                 0        0.00165784
     4.33    0.20641333E-01    0.42075539E-02        0.00180469                 0
     5.00   -0.82183618E-06    0.53742527E-06       2.89081e-08                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

   115.50         1.1820741    0.12396118E-01           0.00156                 0
   116.50         1.0998998    0.11885243E-01                 0         0.0002467
   117.50         1.0108410    0.10507013E-01                 0         0.0021024
   118.50        0.92456599    0.11938845E-01        0.00213669                 0
   119.50        0.88687286    0.95982374E-02                 0        0.00634061

  ----   l-/lep. pT     ----

     1.67    0.11380446E-01    0.17240011E-02       0.000146921                 0
     5.00    0.33159838E-01    0.59645099E-02       0.000140518                 0
     8.33    0.82869025E-01    0.42521878E-01       0.000939823                 0
    11.67    0.62347722E-01    0.42847108E-01                 0       0.000996407
    15.00    0.86288849E-01    0.90868195E-02        0.00150752                 0
    18.33        0.14311232    0.81931608E-02                 0        0.00037618
    21.67        0.14541748    0.95970622E-02        0.00104771                 0
    25.00        0.17049988    0.96603447E-02        0.00062859                 0
    28.33        0.21582069    0.10996000E-01                 0          1.93e-06
    31.67        0.20923648    0.32280088E-01                 0        0.00048143
    35.00        0.29107745    0.32320852E-01                 0        0.00150953
    38.33        0.30248376    0.15806807E-01        0.00422164                 0
    41.67        0.31027718    0.13717288E-01        0.00055697                 0
    45.00        0.36683423    0.13347867E-01        0.00014561                 0
    48.33        0.41860062    0.18562676E-01                 0         3.707e-05
    51.67        0.45989961    0.19645202E-01                 0        0.00010768
    55.00        0.62900459    0.19321077E-01                 0        0.00285286
    58.33        0.35806336    0.18842910E-01                 0         0.0011018
    61.67        0.34833530    0.10452003E-01                 0        0.00190725
    65.00        0.12540039    0.10727939E-02                 0        0.00070731
    68.33    0.74508930E-01    0.68036617E-03                 0       0.000543654
    71.67    0.50324866E-01    0.48173608E-03                 0       0.000424071
    75.00    0.36721186E-01    0.39144927E-03                 0       0.000380304
    78.33    0.27619318E-01    0.29450455E-03                 0       0.000297486
    81.67    0.21756138E-01    0.26211349E-03                 0       0.000287342
    85.00    0.17800618E-01    0.22573013E-03                 0       0.000255305
    88.33    0.14240966E-01    0.19566845E-03                 0       0.000212546
    91.67    0.11970770E-01    0.17748175E-03                 0       0.000184804
    95.00    0.97651253E-02    0.15735908E-03                 0       0.000160639
    98.33    0.82364152E-02    0.13693739E-03                 0       0.000135818

  ----   l-/lep. eta    ----

    -9.67   -0.39783573E-04    0.36060273E-04       4.57271e-06                 0
    -9.00   -0.42450550E-04    0.25202174E-04       2.38976e-05                 0
    -8.33    0.70793239E-03    0.51119592E-03                 0       3.84274e-05
    -7.67    0.33810954E-04    0.16013100E-03       2.57306e-05                 0
    -7.00    0.25721356E-02    0.98028087E-03                 0       0.000188005
    -6.33    0.86232020E-02    0.19893593E-02                 0       0.000637508
    -5.67    0.17563400E-01    0.27585085E-02                 0        0.00105579
    -5.00    0.68571808E-01    0.62126369E-02                 0        0.00262986
    -4.33        0.16372916    0.62980546E-02                 0        0.00977021
    -3.67        0.27725718    0.79669463E-02                 0         0.0102074
    -3.00        0.35077915    0.64341571E-02                 0        0.00275202
    -2.33        0.38140068    0.33608731E-02        0.00435433                 0
    -1.67        0.40447251    0.28352379E-02        0.00718298                 0
    -1.00        0.43584217    0.22873377E-02        0.00728463                 0
    -0.33        0.44109450    0.19425418E-02        0.00591824                 0
     0.33        0.44362739    0.21104056E-02        0.00615537                 0
     1.00        0.43260652    0.27523561E-02        0.00687528                 0
     1.67        0.40372487    0.39683775E-02        0.00728366                 0
     2.33        0.38307596    0.46835648E-02        0.00439768                 0
     3.00        0.35182189    0.76599336E-02                 0        0.00281244
     3.67        0.27422567    0.88441763E-02                 0         0.0100831
     4.33        0.16598524    0.65842847E-02                 0        0.00987259
     5.00    0.67777130E-01    0.64340632E-02                 0         0.0026272
     5.67    0.17074849E-01    0.30745356E-02                 0        0.00104324
     6.33    0.88054921E-02    0.22169734E-02                 0       0.000617432
