 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    17.000000000000000     
 Renormalization scale              =    17.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.16904406231739935     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    15.000000000000000     
 Upper M limit for non-Zpole     =    20.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    15.000000000000000     
 Lepton-pair invariant mass maximum =    20.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      4500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    830.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    1142.5890047922464
 Integration Error (pb)      =    1.8769628345433269
 PDF Error (pb)              +   6.82121e-13
                             -       108.052
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         945.81916         1.9094629                 0           90.6204
    12.50         141.46835        0.29638330                 0           11.9963
    20.83         33.939149        0.11026101                 0           3.14494
    29.17         11.358174    0.54394515E-01                 0           1.14601
    37.50         4.6515314    0.29957093E-01                 0          0.487341
    45.83         2.2336367    0.18371872E-01                 0          0.243949
    54.17         1.1188018    0.11545989E-01                 0          0.135242
    62.50        0.64751742    0.83913349E-02                 0         0.0814475
    70.83        0.39133396    0.60563345E-02                 0         0.0513693
    79.17        0.25604091    0.47253685E-02                 0         0.0356091
    87.50        0.17056022    0.37991005E-02                 0         0.0239253
    95.83        0.10984574    0.26454963E-02                 0         0.0157215
   104.17    0.77613850E-01    0.20981781E-02                 0         0.0114196
   112.50    0.58080089E-01    0.17851018E-02                 0        0.00886022
   120.83    0.40749785E-01    0.13621048E-02                 0        0.00648783
   129.17    0.31019091E-01    0.11430942E-02                 0        0.00513088
   137.50    0.26289200E-01    0.10986521E-02                 0        0.00415655
   145.83    0.19721346E-01    0.87228601E-03                 0        0.00347238
   154.17    0.14599255E-01    0.72819999E-03                 0        0.00255759
   162.50    0.11486415E-01    0.64095976E-03                 0        0.00202712
   170.83    0.99736300E-02    0.57737440E-03                 0        0.00178217
   179.17    0.75262652E-02    0.46665850E-03                 0        0.00140859
   187.50    0.66775368E-02    0.42056794E-03                 0        0.00120489
   195.83    0.54361863E-02    0.35212285E-03                 0       0.000986142
   204.17    0.44153524E-02    0.31612180E-03                 0       0.000832061
   212.50    0.34881461E-02    0.27803400E-03                 0       0.000704006
   220.83    0.31891686E-02    0.25467084E-03                 0       0.000610438
   229.17    0.23378955E-02    0.19375673E-03                 0       0.000474806
   237.50    0.20741313E-02    0.19370478E-03                 0       0.000393275
   245.83    0.21325615E-02    0.19594833E-03                 0       0.000429265

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00   -0.12958547E-04    0.64828099E-05                 0       6.64194e-06
    -6.33         2.4613788        0.10621588                 0           1.37958
    -5.67         25.074082        0.41876307                 0           11.3705
    -5.00         52.791215        0.51847071                 0           16.2344
    -4.33         65.466374        0.52931304                 0           11.4256
    -3.67         67.278739        0.32413829                 0           6.38283
    -3.00         68.520069        0.28929273                 0           3.36279
    -2.33         70.287632        0.24088593                 0           1.81222
    -1.67         71.681457        0.21930066                 0            1.0218
    -1.00         73.303020        0.19616868                 0          0.644213
    -0.33         74.617152        0.18206544                 0          0.495014
     0.33         74.505044        0.18246938                 0          0.496168
     1.00         73.815293        0.18748899                 0          0.644807
     1.67         71.729756        0.20758555                 0           1.02383
     2.33         70.038798        0.22025037                 0           1.80604
     3.00         68.511988        0.25783629                 0           3.37304
     3.67         67.481361        0.28549041                 0           6.39163
     4.33         65.108766        0.50434587                 0           11.3561
     5.00         53.108445        0.49483674                 0           16.3195
     5.67         24.934685        0.40813532                 0           11.3194
     6.33         2.4287612        0.10430911                 0            1.3624
     7.00    0.40630080E-05    0.16046169E-05                 0        1.2936e-05
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    15.50         327.56772        0.93464514                 0           29.5335
    16.50         266.62539         1.0029367                 0            25.019
    17.50         216.51727        0.76742631                 0           20.5661
    18.50         181.13741        0.72792366                 0           17.7113
    19.50         150.95853        0.86334560                 0           15.0609

  ----   l-/lep. pT     ----

     1.67         126.11952         1.5550506                 0           11.5154
     5.00         400.20910         3.9441276                 0           38.0426
     8.33         453.61070         3.6999465                 0           44.0332
    11.67         111.22456        0.55353824                 0           9.26148
    15.00         27.116108        0.12218244                 0           2.35607
    18.33         11.283460    0.66024786E-01                 0           1.02094
    21.67         5.5855407    0.43570840E-01                 0            0.5379
    25.00         3.1463381    0.29673212E-01                 0          0.316547
    28.33         1.9626403    0.23083457E-01                 0          0.201645
    31.67         1.2200970    0.16508676E-01                 0          0.126247
    35.00        0.80344489    0.12578571E-01                 0         0.0866041
    38.33        0.56796282    0.10066915E-01                 0          0.061866
    41.67        0.40357469    0.83059334E-02                 0         0.0406669
    45.00        0.31721323    0.70272646E-02                 0         0.0352541
    48.33        0.20719184    0.50342962E-02                 0         0.0266688
    51.67        0.16224472    0.43992313E-02                 0         0.0188641
    55.00        0.12156612    0.36841709E-02                 0         0.0161535
    58.33        0.10058051    0.32172810E-02                 0         0.0136812
    61.67    0.75894792E-01    0.27498060E-02                 0        0.00962448
    65.00    0.64126537E-01    0.25262760E-02                 0        0.00914391
    68.33    0.53236754E-01    0.22456444E-02                 0        0.00782922
    71.67    0.43548167E-01    0.20777743E-02                 0        0.00593062
    75.00    0.34930231E-01    0.17163597E-02                 0        0.00505478
    78.33    0.27375173E-01    0.13927534E-02                 0        0.00412909
    81.67    0.25328166E-01    0.16823921E-02                 0         0.0035903
    85.00    0.19028900E-01    0.11045658E-02                 0        0.00279753
    88.33    0.17193472E-01    0.10034223E-02                 0        0.00254597
    91.67    0.14748981E-01    0.95315628E-03                 0         0.0022268
    95.00    0.12265626E-01    0.80663501E-03                 0        0.00179868
    98.33    0.10867339E-01    0.88383117E-03                 0        0.00178868

  ----   l-/lep. eta    ----

    -9.67    0.22593997E-01    0.10637819E-01                 0        0.00941767
    -9.00        0.12947848    0.42711619E-01                 0         0.0454404
    -8.33        0.21099587    0.93133442E-01                 0         0.0642661
    -7.67         1.9927441        0.19795261                 0          0.747499
    -7.00         5.0239317        0.33189498                 0           1.75863
    -6.33         12.663951        0.43881070                 0           4.26066
    -5.67         26.985615        0.56942769                 0           7.91072
    -5.00         43.911427        0.58889421                 0           10.6929
    -4.33         57.396402        0.57948450                 0           10.2065
    -3.67         64.743130        0.56534590                 0           7.53988
    -3.00         68.925105        0.54296417                 0           4.73338
    -2.33         70.783166        0.52785934                 0           2.75448
    -1.67         72.409136        0.66254948                 0           1.62324
    -1.00         72.752150        0.64571598                 0          0.989145
    -0.33         74.124837        0.48145757                 0          0.698512
     0.33         73.904925        0.50812131                 0          0.704879
     1.00         72.593249        0.68540713                 0          0.974947
     1.67         72.915883        0.62583137                 0           1.59111
     2.33         70.172845        0.54366596                 0            2.7507
     3.00         69.556347        0.60354921                 0           4.81092
     3.67         64.840385        0.65757930                 0           7.55846
     4.33         57.221839        0.67005859                 0            10.174
     5.00         43.238961        0.74657963                 0           10.5502
     5.67         27.351177        0.72110426                 0           8.00867
     6.33         12.373522        0.56115955                 0           4.21269
     7.00         5.4503384        0.43942426                 0           1.78835
     7.67         1.9582569        0.26213985                 0          0.727537
     8.33        0.30988884        0.13451263                 0         0.0896601
     9.00    0.85063385E-01    0.66106058E-01                 0         0.0279552
     9.67    0.24134190E-01    0.19040783E-01                 0         0.0106415

  ----   l+/neu. pT     ----

     1.67         121.56707         1.4413098                 0           11.0802
     5.00         399.45349         2.7085714                 0           37.4488
     8.33         456.51893         2.5254889                 0           44.9768
    11.67         111.09644        0.61247197                 0            9.3624
    15.00         27.479815        0.12579789                 0           2.40968
    18.33         11.430563    0.67539205E-01                 0              1.07
    21.67         5.7890299    0.43711488E-01                 0          0.565664
    25.00         3.2119442    0.31502104E-01                 0          0.332756
    28.33         1.9365191    0.21882789E-01                 0          0.207837
