 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    258.00000000000000     
 Renormalization scale              =    258.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.10252979859642268     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    243.00000000000000     
 Upper M limit for non-Zpole     =    273.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    243.00000000000000     
 Lepton-pair invariant mass maximum =    273.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    439.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    0.56532848903546773
 Integration Error (pb)      =    1.4308166791359652E-003
 PDF Error (pb)              +             0
                             -     0.0855078
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17        0.21436656    0.17606040E-02                 0         0.0542894
    12.50        0.13800871    0.89267438E-03                 0         0.0121034
    20.83    0.62985611E-01    0.33355064E-03                 0        0.00556132
    29.17    0.36966692E-01    0.18580453E-03                 0        0.00325517
    37.50    0.24634266E-01    0.12695105E-03                 0        0.00216718
    45.83    0.17320140E-01    0.90962462E-04                 0        0.00154395
    54.17    0.13031418E-01    0.72437451E-04                 0        0.00116912
    62.50    0.98668350E-02    0.56028549E-04                 0       0.000889971
    70.83    0.78049598E-02    0.47856562E-04                 0       0.000709053
    79.17    0.61601430E-02    0.37330261E-04                 0       0.000552469
    87.50    0.49970684E-02    0.32196709E-04                 0       0.000455587
    95.83    0.41078066E-02    0.27319376E-04                 0       0.000374806
   104.17    0.34324424E-02    0.24269639E-04                 0       0.000317423
   112.50    0.28429324E-02    0.20588167E-04                 0       0.000258987
   120.83    0.24247478E-02    0.18799181E-04                 0       0.000224583
   129.17    0.20569245E-02    0.16523048E-04                 0       0.000191481
   137.50    0.17580729E-02    0.14579906E-04                 0       0.000166416
   145.83    0.14887285E-02    0.13031224E-04                 0       0.000142746
   154.17    0.13089889E-02    0.11828767E-04                 0       0.000125544
   162.50    0.11217002E-02    0.10565076E-04                 0       0.000107448
   170.83    0.97167852E-03    0.96256785E-05                 0       9.37629e-05
   179.17    0.85778365E-03    0.89683264E-05                 0       8.29533e-05
   187.50    0.74031577E-03    0.80031589E-05                 0       7.23247e-05
   195.83    0.65633493E-03    0.74913143E-05                 0       6.58991e-05
   204.17    0.57620615E-03    0.68079120E-05                 0       5.75723e-05
   212.50    0.50678572E-03    0.61573045E-05                 0       5.14375e-05
   220.83    0.43727589E-03    0.55793611E-05                 0       4.43254e-05
   229.17    0.39034356E-03    0.52242218E-05                 0       3.99621e-05
   237.50    0.34766730E-03    0.47283585E-05                 0       3.57555e-05
   245.83    0.30112963E-03    0.43321806E-05                 0        3.1178e-05

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00         0.0000000    0.10000000E-09                 0                 0
    -4.33   -0.91758320E-10    0.41549400E-09                 0       6.06211e-11
    -3.67    0.17916615E-02    0.75212470E-04                 0       0.000556325
    -3.00    0.23781416E-01    0.43284334E-03                 0        0.00612753
    -2.33    0.50748740E-01    0.46478378E-03                 0         0.0099932
    -1.67    0.65537476E-01    0.30510478E-03                 0        0.00967099
    -1.00    0.69892886E-01    0.18160171E-03                 0        0.00847832
    -0.33    0.70995966E-01    0.12894951E-03                 0        0.00793538
     0.33    0.71009886E-01    0.12728754E-03                 0        0.00793419
     1.00    0.69767970E-01    0.17391602E-03                 0        0.00847672
     1.67    0.65628096E-01    0.29726241E-03                 0        0.00967586
     2.33    0.50601873E-01    0.45928611E-03                 0        0.00997418
     3.00    0.23788926E-01    0.43031126E-03                 0        0.00613121
     3.67    0.17835942E-02    0.74793938E-04                 0       0.000553874
     4.33   -0.42194749E-09    0.41338210E-09       6.26659e-11                 0
     5.00         0.0000000    0.10000000E-09                 0                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

   243.50    0.24156534E-01    0.37444489E-03                 0        0.00355616
   244.50    0.23302174E-01    0.33380971E-03                 0        0.00346102
   245.50    0.23194752E-01    0.31812705E-03                 0        0.00341528
   246.50    0.22677992E-01    0.31031173E-03                 0        0.00334012
   247.50    0.22772836E-01    0.30872932E-03                 0        0.00340254
   248.50    0.21771017E-01    0.30557804E-03                 0        0.00322024
   249.50    0.21554661E-01    0.32631121E-03                 0        0.00312778
   250.50    0.21564266E-01    0.31816995E-03                 0        0.00327863
   251.50    0.20579872E-01    0.29101195E-03                 0        0.00305453
   252.50    0.20419240E-01    0.29957547E-03                 0        0.00305889
   253.50    0.20545776E-01    0.29403854E-03                 0         0.0031493
   254.50    0.19061390E-01    0.27275602E-03                 0         0.0027966
   255.50    0.19730101E-01    0.29642149E-03                 0        0.00300623
   256.50    0.18693754E-01    0.27575669E-03                 0        0.00283001
   257.50    0.18786560E-01    0.28009094E-03                 0        0.00286162
   258.50    0.18549072E-01    0.28915502E-03                 0        0.00280784
   259.50    0.17931526E-01    0.28729762E-03                 0        0.00272668
   260.50    0.17633251E-01    0.27139042E-03                 0         0.0026634
   261.50    0.17540601E-01    0.26698555E-03                 0         0.0026481
   262.50    0.17238939E-01    0.26929004E-03                 0        0.00261601
   263.50    0.16895400E-01    0.28362833E-03                 0        0.00256821
   264.50    0.16587333E-01    0.27049853E-03                 0        0.00259662
   265.50    0.16147423E-01    0.26465780E-03                 0        0.00250797
   266.50    0.16041459E-01    0.26336633E-03                 0        0.00248363
   267.50    0.16436303E-01    0.27450254E-03                 0        0.00256358
   268.50    0.15448141E-01    0.26411254E-03                 0        0.00241299
   269.50    0.15514866E-01    0.25888121E-03                 0        0.00244957
   270.50    0.15233396E-01    0.26381005E-03                 0        0.00234109
   271.50    0.14912152E-01    0.25942753E-03                 0        0.00236252
   272.50    0.14407705E-01    0.25546581E-03                 0        0.00220061

  ----   l-/lep. pT     ----

     1.67    0.47341883E-01    0.15137141E-03                 0         0.0221389
     5.00    0.10150915E-01    0.10357778E-03                 0        0.00449301
     8.33    0.65248027E-02    0.19114007E-03                 0        0.00262388
    11.67    0.56159826E-02    0.54297146E-03                 0        0.00200655
    15.00    0.42051711E-02    0.57097714E-03                 0        0.00145078
    18.33    0.55436860E-02    0.61238526E-03                 0        0.00136252
    21.67    0.31712488E-02    0.18370553E-02                 0        0.00104767
    25.00    0.68305549E-02    0.18314284E-02                 0        0.00129853
    28.33    0.57941845E-02    0.70496671E-03                 0       0.000998046
    31.67    0.44282074E-02    0.11501197E-02                 0       0.000877111
    35.00    0.64434005E-02    0.10601147E-02                 0       0.000969858
    38.33    0.47535039E-02    0.18661979E-02                 0       0.000478339
    41.67    0.88277890E-02    0.18730443E-02                 0        0.00139527
    45.00    0.68666532E-02    0.50120963E-03                 0       0.000898562
    48.33    0.72957327E-02    0.67221733E-03                 0       0.000851002
    51.67    0.87224120E-02    0.73591519E-03                 0         0.0010016
    55.00    0.83360972E-02    0.96484358E-03                 0        0.00107991
    58.33    0.77457348E-02    0.91422663E-03                 0       0.000878989
    61.67    0.10620552E-01    0.65477506E-03                 0        0.00117603
    65.00    0.86220689E-02    0.84481266E-03                 0       0.000868706
    68.33    0.11985561E-01    0.80478856E-03                 0        0.00130877
    71.67    0.13156030E-01    0.31178049E-02                 0        0.00121226
    75.00    0.69204799E-02    0.32706451E-02                 0       0.000688787
    78.33    0.13245048E-01    0.16344695E-02                 0        0.00136091
    81.67    0.11979990E-01    0.11544441E-02                 0        0.00124841
    85.00    0.14550769E-01    0.98130180E-03                 0        0.00124871
    88.33    0.12803665E-01    0.95289951E-03                 0        0.00127372
