 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    27.000000000000000     
 Renormalization scale              =    27.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.15202155249681598     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    25.000000000000000     
 Upper M limit for non-Zpole     =    30.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    25.000000000000000     
 Lepton-pair invariant mass maximum =    30.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    1077.0000000000000     
 Random number seed                 =           13
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    246.23901652201232
 Integration Error (pb)      =    0.87640194535581128
 PDF Error (pb)              +             0
                             -       26.6746
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         182.79681        0.88396253                 0           20.5632
    12.50         40.497850    0.96274506E-01                 0           3.79592
    20.83         12.616371    0.38991507E-01                 0           1.22586
    29.17         5.1407687    0.21880558E-01                 0            0.5134
    37.50         2.5653886    0.15093717E-01                 0          0.238275
    45.83         1.1825338    0.83715109E-02                 0          0.133994
    54.17        0.61321118    0.53362048E-02                 0          0.076417
    62.50        0.35753007    0.38242833E-02                 0         0.0467449
    70.83        0.22101012    0.27461764E-02                 0         0.0292919
    79.17        0.13714328    0.19696358E-02                 0         0.0190835
    87.50    0.95002881E-01    0.16020103E-02                 0         0.0133656
    95.83    0.67544116E-01    0.12997063E-02                 0         0.0101752
   104.17    0.46876757E-01    0.98882219E-03                 0        0.00693682
   112.50    0.34102276E-01    0.80120463E-03                 0        0.00517753
   120.83    0.26266323E-01    0.70501912E-03                 0        0.00437172
   129.17    0.18860815E-01    0.54483609E-03                 0        0.00316059
   137.50    0.15000377E-01    0.47397233E-03                 0        0.00254288
   145.83    0.11278323E-01    0.38638849E-03                 0        0.00187204
   154.17    0.85641270E-02    0.33288867E-03                 0        0.00148392
   162.50    0.71341744E-02    0.28640904E-03                 0        0.00125697
   170.83    0.59782071E-02    0.26499957E-03                 0        0.00109545
   179.17    0.43460651E-02    0.20263962E-03                 0       0.000783887
   187.50    0.36008279E-02    0.17786077E-03                 0       0.000654111
   195.83    0.31176313E-02    0.17281278E-03                 0       0.000597704
   204.17    0.25495595E-02    0.14470121E-03                 0       0.000484835
   212.50    0.21271890E-02    0.12880158E-03                 0       0.000451381
   220.83    0.19206385E-02    0.12035381E-03                 0       0.000402345
   229.17    0.17432162E-02    0.11538365E-03                 0       0.000346487
   237.50    0.10916829E-02    0.74972557E-04                 0       0.000234312
   245.83    0.11754390E-02    0.92167232E-04                 0       0.000237999

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33    0.47565722E-02    0.10478011E-02                 0        0.00308255
    -5.67         1.7753263        0.11925194                 0          0.945692
    -5.00         9.5451232        0.27611460                 0           3.94105
    -4.33         13.938920        0.24800259                 0           3.69889
    -3.67         15.640464        0.14477207                 0           2.26848
    -3.00         16.006783    0.94326208E-01                 0           1.20448
    -2.33         16.185264    0.69821830E-01                 0          0.630463
    -1.67         16.408679    0.58443557E-01                 0          0.339524
    -1.00         16.796225    0.47961035E-01                 0           0.20016
    -0.33         17.059808    0.44050879E-01                 0          0.145845
     0.33         17.046656    0.43662527E-01                 0           0.14586
     1.00         16.725365    0.45293357E-01                 0          0.199146
     1.67         16.392796    0.54229202E-01                 0          0.338657
     2.33         16.230235    0.63846031E-01                 0          0.632737
     3.00         16.020694    0.85798373E-01                 0           1.20468
     3.67         15.684599        0.13847564                 0           2.27928
     4.33         13.829271        0.24310476                 0           3.67785
     5.00         9.4913330        0.27397667                 0           3.92092
     5.67         1.7673143        0.11869695                 0          0.942498
     6.33    0.45890075E-02    0.10510567E-02                 0        0.00297134
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    25.50         62.596262        0.45594022                 0           6.76611
    26.50         54.869392        0.37991751                 0           5.77336
    27.50         48.332146        0.35294683                 0           5.30873
    28.50         42.692615        0.35462710                 0           4.63444
    29.50         37.822891        0.37114270                 0           4.19567

  ----   l-/lep. pT     ----

     1.67         10.898101        0.40811945                 0           1.14566
     5.00         31.354862        0.60180913                 0           3.31303
     8.33         57.521277        0.76395664                 0           6.38004
    11.67         79.797401        0.89962029                 0           9.07753
    15.00         45.764062        0.57679658                 0           4.70474
    18.33         10.532142    0.48235606E-01                 0          0.986687
    21.67         4.3441520    0.24460122E-01                 0           0.42032
    25.00         2.2257688    0.15061984E-01                 0          0.216534
    28.33         1.3195362    0.11279872E-01                 0          0.132181
    31.67        0.83160084    0.84286254E-02                 0         0.0843415
    35.00        0.56025671    0.67490017E-02                 0         0.0561775
    38.33        0.40837512    0.63699513E-02                 0         0.0389558
    41.67        0.29013938    0.46812751E-02                 0         0.0274623
    45.00        0.22946586    0.44713819E-02                 0         0.0202495
    48.33        0.14437403    0.26988780E-02                 0         0.0169632
    51.67        0.10349916    0.21813638E-02                 0         0.0127415
    55.00    0.77433911E-01    0.17932854E-02                 0          0.010066
    58.33    0.57889044E-01    0.14781331E-02                 0        0.00758323
    61.67    0.47350452E-01    0.13163701E-02                 0         0.0060571
    65.00    0.36443138E-01    0.11129709E-02                 0        0.00446969
    68.33    0.29993007E-01    0.10174913E-02                 0        0.00416187
    71.67    0.24610068E-01    0.89931689E-03                 0        0.00367945
    75.00    0.20164679E-01    0.75725313E-03                 0        0.00292392
    78.33    0.17005123E-01    0.68194219E-03                 0        0.00233018
    81.67    0.14027881E-01    0.58549015E-03                 0        0.00197733
    85.00    0.13554760E-01    0.62179267E-03                 0        0.00193621
    88.33    0.10145614E-01    0.48353613E-03                 0        0.00156386
    91.67    0.94625254E-02    0.46090751E-03                 0        0.00140385
    95.00    0.76223341E-02    0.40400559E-03                 0        0.00133909
    98.33    0.69221435E-02    0.41409246E-03                 0         0.0010513

  ----   l-/lep. eta    ----

    -9.67    0.13107748E-02    0.84319748E-03                 0       0.000580654
    -9.00    0.15046016E-01    0.94214617E-02                 0        0.00212143
    -8.33    0.90179392E-02    0.10135519E-01        0.00119924                 0
    -7.67        0.14915443    0.36662452E-01                 0          0.060902
    -7.00        0.76913587    0.89498245E-01                 0          0.317125
    -6.33         1.6500928        0.13295459                 0          0.589405
    -5.67         4.4924805        0.23178614                 0           1.53369
    -5.00         7.6651427        0.24847866                 0           2.22215
    -4.33         11.425764        0.23702006                 0           2.59029
    -3.67         14.555978        0.21090144                 0           2.32529
    -3.00         15.778093        0.18340174                 0           1.61442
    -2.33         16.290904        0.15291215                 0          0.941748
    -1.67         16.633802        0.12968946                 0           0.57574
    -1.00         16.888294        0.11157069                 0          0.328326
    -0.33         16.952221    0.93880751E-01                 0          0.245109
     0.33         16.907536        0.10587898                 0          0.238369
     1.00         17.032271        0.13062233                 0          0.338969
     1.67         16.509930        0.13294826                 0          0.576934
     2.33         16.304831        0.15054575                 0          0.915831
     3.00         15.768855        0.20434488                 0           1.61111
     3.67         14.612078        0.23237222                 0           2.35301
     4.33         11.367039        0.25357579                 0           2.56681
     5.00         7.6486082        0.26998837                 0           2.21577
     5.67         4.3586320        0.25840644                 0           1.51076
     6.33         1.7077134        0.15156842                 0          0.596443
     7.00        0.83899707        0.11117114                 0          0.318981
     7.67        0.14600260    0.42331008E-01                 0         0.0611196
     8.33    0.79666805E-02    0.16884740E-01        0.00535873                 0
     9.00    0.21974146E-01    0.15110795E-01                 0        0.00157254
     9.67    0.52585180E-02    0.58978346E-02                 0        0.00265663

  ----   l+/neu. pT     ----

     1.67         10.865296        0.31470131                 0           1.01489
     5.00         30.989183        0.57223392                 0           3.29427
     8.33         57.712507        0.71913299                 0           6.41021
    11.67         77.361735        0.85883849                 0           8.85743
    15.00         47.978672        0.59108205                 0           4.90353
    18.33         10.641133    0.50807475E-01                 0            1.0187
    21.67         4.3858915    0.24709461E-01                 0          0.431156
