 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    78.000000000000000     
 Renormalization scale              =    78.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.12377089405486148     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    76.000000000000000     
 Upper M limit for non-Zpole     =    81.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    76.000000000000000     
 Lepton-pair invariant mass maximum =    81.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    785.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    46.250911182504531
 Integration Error (pb)      =    0.18710571641569673
 PDF Error (pb)              +      0.167494
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         24.280481        0.17465251                 0           0.17746
    12.50         14.299610    0.77722381E-01           0.28679                 0
    20.83         3.1093229    0.12092425E-01         0.0256325                 0
    29.17         1.5883755    0.66489924E-02         0.0117191                 0
    37.50        0.95139935    0.46456838E-02        0.00620015                 0
    45.83        0.59825606    0.32491909E-02         0.0042576                 0
    54.17        0.39890172    0.24812156E-02        0.00263529                 0
    62.50        0.27248357    0.18925708E-02        0.00189775                 0
    70.83        0.18842098    0.14719164E-02        0.00140602                 0
    79.17        0.13529581    0.11780678E-02        0.00097955                 0
    87.50    0.98506656E-01    0.96597260E-03       0.000666106                 0
    95.83    0.71347758E-01    0.77537658E-03       0.000574844                 0
   104.17    0.55088202E-01    0.66001039E-03       0.000469416                 0
   112.50    0.41598458E-01    0.54325594E-03       0.000323439                 0
   120.83    0.30606561E-01    0.44146962E-03       0.000273764                 0
   129.17    0.24897227E-01    0.39520443E-03       0.000190127                 0
   137.50    0.18976667E-01    0.32565704E-03       0.000145594                 0
   145.83    0.14884272E-01    0.27366133E-03       0.000105842                 0
   154.17    0.11903303E-01    0.23818369E-03        0.00012361                 0
   162.50    0.97271765E-02    0.20388460E-03       7.91408e-05                 0
   170.83    0.78089114E-02    0.17707281E-03       7.34902e-05                 0
   179.17    0.63079983E-02    0.15409896E-03       4.41459e-05                 0
   187.50    0.53695209E-02    0.13813769E-03       4.52031e-05                 0
   195.83    0.44718488E-02    0.12196921E-03       4.79832e-05                 0
   204.17    0.36704433E-02    0.10969195E-03       3.09678e-05                 0
   212.50    0.31594601E-02    0.95334117E-04       3.93989e-05                 0
   220.83    0.24760558E-02    0.81967126E-04         2.087e-05                 0
   229.17    0.22804977E-02    0.79153688E-04       2.06884e-05                 0
   237.50    0.17935878E-02    0.64917571E-04       1.55132e-05                 0
   245.83    0.16070991E-02    0.61844083E-04       1.19571e-05                 0

  ----   Z/W rapidity   ----

    -9.67         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.33         0.0000000    0.10000000E-09                 0                 0
    -7.67         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.33         0.0000000    0.10000000E-09                 0                 0
    -5.67         0.0000000    0.10000000E-09                 0                 0
    -5.00    0.21779169E-01    0.31849783E-02       0.000618613                 0
    -4.33        0.71452241    0.38446625E-01         0.0428931                 0
    -3.67         2.3912284    0.55213839E-01         0.0561746                 0
    -3.00         3.5130621    0.43053934E-01         0.0486256                 0
    -2.33         3.9018004    0.27866089E-01         0.0049314                 0
    -1.67         4.0798739    0.22039034E-01                 0         0.0167366
    -1.00         4.2424786    0.21378306E-01                 0         0.0248714
    -0.33         4.2643486    0.21076217E-01                 0         0.0277211
     0.33         4.2737976    0.20890266E-01                 0         0.0277422
     1.00         4.2367246    0.21083617E-01                 0         0.0248935
     1.67         4.0784984    0.21522194E-01                 0          0.016848
     2.33         3.9040933    0.27306880E-01         0.0047525                 0
     3.00         3.4984752    0.42667769E-01         0.0483695                 0
     3.67         2.3914726    0.55000197E-01         0.0561488                 0
     4.33        0.71694065    0.38382961E-01         0.0431626                 0
     5.00    0.21815172E-01    0.31807746E-02       0.000629535                 0
     5.67         0.0000000    0.10000000E-09                 0                 0
     6.33         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.67         0.0000000    0.10000000E-09                 0                 0
     8.33         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.67         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

    76.50         7.5983792    0.70381550E-01                 0         0.0660515
    77.50         8.1391981    0.72544101E-01                 0         0.0061509
    78.50         8.9926011    0.85046251E-01         0.0367093                 0
    79.50         10.081310    0.89524718E-01          0.068432                 0
    80.50         11.439422    0.91093499E-01          0.134556                 0

  ----   l-/lep. pT     ----

     1.67        0.98900560    0.19453406E-01                 0          0.278734
     5.00         1.0201322        0.13327839                 0         0.0442449
     8.33         1.3889928        0.13603896                 0         0.0135648
    11.67         1.8553744    0.53380004E-01         0.0055576                 0
    15.00         2.3571766    0.78430231E-01         0.0118293                 0
    18.33         2.7812399    0.82739393E-01         0.0110543                 0
    21.67         3.2737684    0.71273244E-01         0.0384123                 0
    25.00         3.9191733    0.86172928E-01         0.0584159                 0
    28.33         4.4225774    0.80018540E-01         0.0493433                 0
    31.67         5.4503824    0.93108120E-01         0.0641583                 0
    35.00         6.3287866        0.11442343         0.0673834                 0
    38.33         4.0666896        0.85684731         0.0380555                 0
    41.67         4.8860593        0.84868888         0.0745116                 0
    45.00         1.7663337    0.24083022E-01          0.041362                 0
    48.33        0.51562397    0.40104466E-02        0.00897521                 0
    51.67        0.30088283    0.25693455E-02        0.00559626                 0
    55.00        0.20458431    0.18798917E-02        0.00473146                 0
    58.33        0.14659372    0.14937205E-02        0.00383476                 0
    61.67        0.10975510    0.12416924E-02        0.00302174                 0
    65.00    0.82268089E-01    0.10224021E-02        0.00236443                 0
    68.33    0.64013885E-01    0.84855996E-03        0.00198459                 0
    71.67    0.50557381E-01    0.72951654E-03        0.00157056                 0
    75.00    0.41255086E-01    0.64047731E-03        0.00146908                 0
    78.33    0.33701345E-01    0.58189292E-03        0.00128145                 0
    81.67    0.27278895E-01    0.49852546E-03       0.000988162                 0
    85.00    0.23212490E-01    0.44624244E-03       0.000919933                 0
    88.33    0.19318326E-01    0.40010582E-03       0.000764445                 0
    91.67    0.15641380E-01    0.34996022E-03       0.000670229                 0
    95.00    0.13515458E-01    0.31649299E-03        0.00062488                 0
    98.33    0.11710833E-01    0.29493313E-03       0.000519972                 0

  ----   l-/lep. eta    ----

    -9.67    0.44151767E-02    0.30405713E-03                 0        0.00213192
    -9.00    0.10449876E-01    0.48070991E-03                 0        0.00463325
    -8.33    0.18433814E-01    0.15589732E-02                 0        0.00655472
    -7.67    0.26144833E-01    0.19093299E-02                 0        0.00803528
    -7.00    0.52048237E-01    0.50681976E-02                 0        0.00391105
    -6.33    0.94163320E-01    0.70213537E-02       0.000937909                 0
    -5.67        0.16031081    0.41058814E-01        0.00415473                 0
    -5.00        0.54364218    0.45800994E-01         0.0944574                 0
    -4.33         1.1388384    0.24685870E-01          0.103831                 0
    -3.67         2.0424961    0.35543111E-01         0.0831505                 0
    -3.00         3.0504123    0.43722521E-01                 0         0.0090714
    -2.33         3.6125649    0.47268083E-01                 0         0.0327429
    -1.67         4.0067109    0.39963640E-01                 0          0.055003
    -1.00         4.1558241    0.28547261E-01                 0         0.0438184
    -0.33         4.2158477    0.25463820E-01                 0         0.0354853
     0.33         4.2200355    0.25475341E-01                 0         0.0366177
     1.00         4.1410386    0.31073168E-01                 0         0.0432818
     1.67         3.9741778    0.50048673E-01                 0         0.0546986
     2.33         3.6473776    0.56274286E-01                 0         0.0331897
     3.00         3.0589060    0.45885372E-01                 0         0.0082853
     3.67         2.0298646    0.36323517E-01         0.0830058                 0
     4.33         1.1379615    0.25692646E-01          0.103625                 0
     5.00        0.54892787    0.50279493E-01         0.0965485                 0
     5.67        0.15055503    0.45705737E-01         0.0020798                 0
     6.33    0.92821045E-01    0.81404339E-02        0.00030953                 0
     7.00    0.50882826E-01    0.58283502E-02                 0        0.00382674
     7.67    0.28646387E-01    0.25632752E-02                 0        0.00765019
     8.33    0.18736830E-01    0.16097969E-02                 0        0.00639256
