 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    103.00000000000000     
 Renormalization scale              =    103.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11807459414092185     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    101.00000000000000     
 Upper M limit for non-Zpole     =    106.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    101.00000000000000     
 Lepton-pair invariant mass maximum =    106.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      1000000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    1484.0000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    10.549213337545266
 Integration Error (pb)      =    5.6132118149685738E-002
 PDF Error (pb)              +     0.0712127
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     2.50         1.1065931    0.63437898E-01                 0         0.0095408
     7.50         3.6023602    0.26508868E-01         0.0279018                 0
    12.50         1.6869994    0.11009206E-01         0.0132222                 0
    17.50         1.0004853    0.62568248E-02         0.0080722                 0
    22.50        0.67251664    0.43358644E-02         0.0055812                 0
    27.50        0.47428750    0.31316320E-02        0.00405548                 0
    32.50        0.35742736    0.24275183E-02        0.00316294                 0
    37.50        0.27232499    0.19868691E-02        0.00250432                 0
    42.50        0.22053715    0.17357608E-02        0.00208185                 0
    47.50        0.17804715    0.14748262E-02        0.00173702                 0
    52.50        0.14515894    0.12599789E-02        0.00145078                 0
    57.50        0.11810165    0.10976820E-02        0.00118167                 0
    62.50    0.98218290E-01    0.95470442E-03        0.00104019                 0
    67.50    0.82065998E-01    0.84276348E-03       0.000893571                 0
    72.50    0.70478606E-01    0.77644233E-03       0.000795234                 0
    77.50    0.59349438E-01    0.68153860E-03       0.000705035                 0
    82.50    0.50746200E-01    0.62107293E-03       0.000613019                 0
    87.50    0.43259050E-01    0.54557337E-03       0.000557997                 0
    92.50    0.36132264E-01    0.48506513E-03       0.000482277                 0
    97.50    0.31388584E-01    0.43905495E-03       0.000411768                 0
   102.50    0.27709454E-01    0.40896256E-03       0.000387019                 0
   107.50    0.24277259E-01    0.37695096E-03       0.000340253                 0
   112.50    0.20526230E-01    0.33245884E-03       0.000307744                 0
   117.50    0.17934205E-01    0.30514154E-03       0.000266651                 0
   122.50    0.16139876E-01    0.28707280E-03       0.000248558                 0
   127.50    0.13736754E-01    0.25696669E-03       0.000206534                 0
   132.50    0.12433585E-01    0.23696131E-03       0.000206481                 0
   137.50    0.11136890E-01    0.22799174E-03       0.000179505                 0
   142.50    0.99451872E-02    0.20311305E-03       0.000173616                 0
   147.50    0.89502997E-02    0.19364822E-03       0.000150781                 0
   152.50    0.72897018E-02    0.16254481E-03       0.000133651                 0
   157.50    0.65002926E-02    0.15950098E-03       0.000110804                 0
   162.50    0.58464059E-02    0.14260955E-03       0.000109908                 0
   167.50    0.54262790E-02    0.13530614E-03       0.000112952                 0
   172.50    0.47810556E-02    0.12693788E-03       9.29061e-05                 0
   177.50    0.43096865E-02    0.11760378E-03       8.81567e-05                 0
   182.50    0.38627794E-02    0.10542245E-03       8.79632e-05                 0
   187.50    0.34126423E-02    0.98658801E-04       7.18055e-05                 0
   192.50    0.30256648E-02    0.88653804E-04       6.61701e-05                 0
   197.50    0.28125148E-02    0.87760467E-04       5.57371e-05                 0
   202.50    0.25424082E-02    0.84958292E-04       5.42175e-05                 0
   207.50    0.23166575E-02    0.77041824E-04       5.10203e-05                 0
   212.50    0.20073403E-02    0.69371393E-04       4.65502e-05                 0
   217.50    0.20844578E-02    0.71635551E-04       5.02832e-05                 0
   222.50    0.17275852E-02    0.61659900E-04        4.2443e-05                 0
   227.50    0.15333814E-02    0.56509457E-04       3.90105e-05                 0
   232.50    0.14226612E-02    0.56219790E-04       3.79047e-05                 0
   237.50    0.12677651E-02    0.49268199E-04       3.46929e-05                 0
   242.50    0.12532995E-02    0.49636109E-04        3.2697e-05                 0
   247.50    0.11639368E-02    0.49287954E-04       2.86651e-05                 0

  ----   Z/W rapidity   ----

    -9.80         0.0000000    0.10000000E-09                 0                 0
    -9.40         0.0000000    0.10000000E-09                 0                 0
    -9.00         0.0000000    0.10000000E-09                 0                 0
    -8.60         0.0000000    0.10000000E-09                 0                 0
    -8.20         0.0000000    0.10000000E-09                 0                 0
    -7.80         0.0000000    0.10000000E-09                 0                 0
    -7.40         0.0000000    0.10000000E-09                 0                 0
    -7.00         0.0000000    0.10000000E-09                 0                 0
    -6.60         0.0000000    0.10000000E-09                 0                 0
    -6.20         0.0000000    0.10000000E-09                 0                 0
    -5.80         0.0000000    0.10000000E-09                 0                 0
    -5.40         0.0000000    0.10000000E-09                 0                 0
    -5.00         0.0000000    0.10000000E-09                 0                 0
    -4.60         0.0000000    0.10000000E-09                 0                 0
    -4.20         0.0000000    0.10000000E-09                 0                 0
    -3.80         0.0000000    0.10000000E-09                 0                 0
    -3.40         0.0000000    0.10000000E-09                 0                 0
    -3.00         0.0000000    0.10000000E-09                 0                 0
    -2.60    0.51242982E-03    0.25791300E-03       1.66791e-05                 0
    -2.20        0.20036862    0.66651294E-02        0.00326973                 0
    -1.80        0.60120965    0.66093775E-02        0.00703189                 0
    -1.40        0.90921827    0.12020667E-01        0.00725613                 0
    -1.00         1.1534288    0.23115431E-01         0.0070414                 0
    -0.60         1.2007635    0.67198925E-02         0.0059852                 0
    -0.20         1.2433234    0.10347077E-01         0.0056869                 0
     0.20         1.2377642    0.80237382E-02         0.0056476                 0
     0.60         1.2072223    0.70033414E-02         0.0060151                 0
     1.00         1.1271246    0.11606129E-01         0.0070338                 0
     1.40        0.87976458    0.39211318E-01         0.0062037                 0
     1.80        0.59770335    0.74335948E-02         0.0069321                 0
     2.20        0.19034743    0.79004086E-02        0.00307907                 0
     2.60    0.46217390E-03    0.40931363E-03       1.34268e-05                 0
     3.00         0.0000000    0.10000000E-09                 0                 0
     3.40         0.0000000    0.10000000E-09                 0                 0
     3.80         0.0000000    0.10000000E-09                 0                 0
     4.20         0.0000000    0.10000000E-09                 0                 0
     4.60         0.0000000    0.10000000E-09                 0                 0
     5.00         0.0000000    0.10000000E-09                 0                 0
     5.40         0.0000000    0.10000000E-09                 0                 0
     5.80         0.0000000    0.10000000E-09                 0                 0
     6.20         0.0000000    0.10000000E-09                 0                 0
     6.60         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     7.40         0.0000000    0.10000000E-09                 0                 0
     7.80         0.0000000    0.10000000E-09                 0                 0
     8.20         0.0000000    0.10000000E-09                 0                 0
     8.60         0.0000000    0.10000000E-09                 0                 0
     9.00         0.0000000    0.10000000E-09                 0                 0
     9.40         0.0000000    0.10000000E-09                 0                 0
     9.80         0.0000000    0.10000000E-09                 0                 0

  ----   Q_ll Invaria   ----

   101.50         2.8329998    0.17419192E-01         0.0230513                 0
   102.50         2.4120619    0.29390112E-01         0.0165652                 0
   103.50         2.0427466    0.11661604E-01         0.0134411                 0
   104.50         1.7127809    0.40165152E-01         0.0093448                 0
   105.50         1.5486240    0.19008699E-01         0.0088105                 0

  ----   l-/lep. pT     ----

     1.00         0.0000000    0.10000000E-09                 0                 0
     3.00         0.0000000    0.10000000E-09                 0                 0
     5.00         0.0000000    0.10000000E-09                 0                 0
     7.00         0.0000000    0.10000000E-09                 0                 0
     9.00    0.27951002E-03    0.31026885E-04       4.35441e-06                 0
    11.00    0.17420641E-01    0.66317229E-03       0.000268527                 0
    13.00    0.26130813E-01    0.92242597E-03       0.000360794                 0
    15.00    0.40214175E-01    0.13208471E-02       0.000481497                 0
    17.00    0.58143143E-01    0.19615374E-02       0.000642624                 0
    19.00    0.85203656E-01    0.32118209E-02       0.000883666                 0
    21.00        0.16646293    0.12159432E-01        0.00143584                 0
    23.00        0.17154277    0.23849882E-01        0.00084806                 0
    25.00        0.20289923    0.19241247E-01        0.00096333                 0
    27.00        0.24840545    0.45882972E-01        0.00117609                 0
    29.00        0.27453286    0.43897668E-01        0.00152868                 0
    31.00        0.34455438    0.27543002E-01        0.00107607                 0
    33.00        0.36010105    0.34914620E-01        0.00232558                 0
    35.00        0.46509887    0.40526719E-01        0.00298784                 0
    37.00        0.44861577    0.65596401E-01          0.001811                 0
