 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    17.000000000000000     
 Renormalization scale              =    17.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.16904406231739935     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    15.000000000000000     
 Upper M limit for non-Zpole     =    20.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    15.000000000000000     
 Lepton-pair invariant mass maximum =    20.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =     17500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    323.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    2.8042748586659272
 Integration Error (pb)      =    1.4277367536065337E-003
 PDF Error (pb)              +             0
                             -      0.114869
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         0.0000000         0.0000000                 0                 0
    12.50         0.0000000         0.0000000                 0                 0
    20.83    0.16143168E-04    0.39207975E-05                 0       5.92111e-07
    29.17        0.24397024    0.63740772E-03                 0        0.00537642
    37.50        0.75426399    0.85774089E-03                 0         0.0193527
    45.83        0.59973837    0.67141271E-03                 0         0.0188715
    54.17        0.36591432    0.43075455E-03                 0         0.0141002
    62.50        0.23541598    0.32860106E-03                 0         0.0107489
    70.83        0.15684050    0.26222836E-03                 0        0.00828183
    79.17        0.10869487    0.20991421E-03                 0        0.00645594
    87.50    0.76934880E-01    0.17209263E-03                 0        0.00509016
    95.83    0.56067204E-01    0.14409369E-03                 0        0.00408342
   104.17    0.41262508E-01    0.12269661E-03                 0         0.0032854
   112.50    0.31540092E-01    0.10654826E-03                 0        0.00271721
   120.83    0.24090458E-01    0.91387940E-04                 0         0.0022096
   129.17    0.18957913E-01    0.82009876E-04                 0        0.00189345
   137.50    0.14958901E-01    0.71829455E-04                 0        0.00157049
   145.83    0.12049155E-01    0.66708870E-04                 0        0.00136262
   154.17    0.96167608E-02    0.55965963E-04                 0        0.00112467
   162.50    0.78481611E-02    0.50022909E-04                 0       0.000961166
   170.83    0.64382017E-02    0.46127787E-04                 0       0.000819857
   179.17    0.54134898E-02    0.41399391E-04                 0       0.000714592
   187.50    0.45164684E-02    0.39503041E-04                 0       0.000620438
   195.83    0.37938841E-02    0.36519713E-04                 0       0.000550716
   204.17    0.31530289E-02    0.30868847E-04                 0       0.000456474
   212.50    0.27155739E-02    0.28606516E-04                 0       0.000413684
   220.83    0.23518019E-02    0.26878861E-04                 0       0.000366748
   229.17    0.19987426E-02    0.23899705E-04                 0       0.000314746
   237.50    0.17559253E-02    0.22931463E-04                 0       0.000290804
   245.83    0.14841949E-02    0.20912728E-04                 0       0.000249258

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.33        0.12007130    0.24911405E-03                 0          0.012054
    -1.67        0.40413697    0.41331817E-03                 0          0.023958
    -1.00        0.43361812    0.38500343E-03                 0         0.0131425
    -0.33        0.44409942    0.38694387E-03                 0        0.00825437
     0.33        0.44402390    0.39288537E-03                 0        0.00822472
     1.00        0.43385828    0.38310446E-03                 0         0.0131941
     1.67        0.40424521    0.41331705E-03                 0         0.0239638
     2.33        0.12009135    0.24911428E-03                 0         0.0120634
     3.00         0.0000000         0.0000000                 0                 0
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    15.50        0.62055873    0.69323911E-03                 0         0.0257972
    16.50        0.58741946    0.67396318E-03                 0         0.0243038
    17.50        0.55561409    0.67484347E-03                 0         0.0227758
    18.50        0.53074048    0.66732383E-03                 0         0.0215439
    19.50        0.50983703    0.67808126E-03                 0         0.0204391

  ----   l-/lep. pT     ----

     1.67         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     8.33    0.15895566E-01    0.10043342E-03                 0       0.000465986
    11.67        0.46316427    0.74193526E-03                 0          0.014196
    15.00        0.30756186    0.48528550E-03                 0         0.0106904
    18.33        0.20898206    0.37183995E-03                 0        0.00804928
    21.67        0.28435021    0.50822851E-03                 0        0.00946793
    25.00        0.36352453    0.56883579E-03                 0         0.0114731
    28.33        0.25409219    0.41858687E-03                 0        0.00892088
    31.67        0.18431750    0.36167145E-03                 0        0.00711171
    35.00        0.13709007    0.28152296E-03                 0        0.00573688
    38.33        0.10383022    0.22457423E-03                 0        0.00473788
    41.67    0.80715739E-01    0.19306528E-03                 0        0.00396115
    45.00    0.63501485E-01    0.16678815E-03                 0        0.00332584
    48.33    0.50821587E-01    0.14857228E-03                 0        0.00282716
    51.67    0.41092875E-01    0.13074550E-03                 0        0.00245706
    55.00    0.33853706E-01    0.11849618E-03                 0        0.00214805
    58.33    0.27824632E-01    0.10499717E-03                 0        0.00182228
    61.67    0.23329768E-01    0.95296660E-04                 0         0.0016042
    65.00    0.19576103E-01    0.87357321E-04                 0        0.00140832
    68.33    0.16665805E-01    0.80648230E-04                 0         0.0012489
    71.67    0.14162050E-01    0.74118136E-04                 0        0.00111067
    75.00    0.12090372E-01    0.68275903E-04                 0        0.00100632
    78.33    0.10414924E-01    0.62876256E-04                 0       0.000895684
    81.67    0.90949766E-02    0.59651825E-04                 0       0.000804633
    85.00    0.78433331E-02    0.54929426E-04                 0       0.000713507
    88.33    0.68738928E-02    0.50793165E-04                 0       0.000644529
    91.67    0.60255020E-02    0.47243948E-04                 0       0.000570145
    95.00    0.53194803E-02    0.44112299E-04                 0       0.000525082
    98.33    0.47900084E-02    0.43300135E-04                 0       0.000486599

  ----   l-/lep. eta    ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.33        0.14808471    0.28142432E-03                 0         0.0130265
    -1.67        0.37687917    0.39271332E-03                 0         0.0222617
    -1.00        0.43336459    0.38670152E-03                 0         0.0135819
    -0.33        0.44361380    0.39021985E-03                 0        0.00854846
     0.33        0.44365867    0.39627870E-03                 0        0.00854114
     1.00        0.43346562    0.38481840E-03                 0         0.0136082
     1.67        0.37692913    0.39205993E-03                 0         0.0222636
     2.33        0.14816300    0.28126395E-03                 0         0.0130359
     3.00         0.0000000         0.0000000                 0                 0
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   l+/neu. pT     ----

     1.67         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     8.33    0.15827057E-01    0.94975899E-04                 0       0.000432698
    11.67        0.45878231    0.73370838E-03                 0         0.0138288
    15.00        0.30557946    0.48551508E-03                 0         0.0104682
    18.33        0.20802902    0.35809012E-03                 0        0.00789217
