 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    32.000000000000000     
 Renormalization scale              =    32.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.14663853410442063     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    30.000000000000000     
 Upper M limit for non-Zpole     =    35.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    30.000000000000000     
 Lepton-pair invariant mass maximum =    35.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =     13500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    400.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    3.7931419757789269
 Integration Error (pb)      =    2.4081896391712344E-003
 PDF Error (pb)              +   4.44089e-16
                             -     0.0980847
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17    0.11919222E-02    0.37292806E-04                 0       2.01257e-05
    12.50         1.0775942    0.15790312E-02                 0         0.0171956
    20.83        0.88169329    0.11456734E-02                 0         0.0164166
    29.17        0.58310656    0.86760977E-03                 0          0.012995
    37.50        0.43770447    0.83956781E-03                 0         0.0107251
    45.83        0.26276368    0.47244206E-03                 0        0.00852591
    54.17        0.16317702    0.35617712E-03                 0        0.00632457
    62.50        0.10609055    0.27736106E-03                 0         0.0047542
    70.83    0.71639117E-01    0.22374087E-03                 0        0.00369549
    79.17    0.49932455E-01    0.18637948E-03                 0        0.00291666
    87.50    0.35541751E-01    0.15652783E-03                 0        0.00230198
    95.83    0.25791387E-01    0.12878148E-03                 0        0.00182682
   104.17    0.19541576E-01    0.11729963E-03                 0        0.00154018
   112.50    0.14741880E-01    0.10084050E-03                 0        0.00125451
   120.83    0.11314196E-01    0.88227879E-04                 0        0.00103355
   129.17    0.88366314E-02    0.74360363E-04                 0       0.000859828
   137.50    0.70368546E-02    0.69644173E-04                 0       0.000715697
   145.83    0.55838394E-02    0.60543252E-04                 0       0.000613062
   154.17    0.46083442E-02    0.57001495E-04                 0       0.000527652
   162.50    0.37257318E-02    0.49667917E-04                 0       0.000445304
   170.83    0.30441243E-02    0.42796590E-04                 0       0.000382069
   179.17    0.25372380E-02    0.42649619E-04                 0       0.000337256
   187.50    0.20594033E-02    0.37685276E-04                 0       0.000277096
   195.83    0.17844688E-02    0.33027857E-04                 0        0.00025025
   204.17    0.15405741E-02    0.30090880E-04                 0       0.000229794
   212.50    0.12556154E-02    0.26015067E-04                 0       0.000190975
   220.83    0.10424022E-02    0.22954540E-04                 0       0.000157106
   229.17    0.94990855E-03    0.22475380E-04                 0       0.000152279
   237.50    0.80198609E-03    0.20694429E-04                 0       0.000131938
   245.83    0.69379094E-03    0.18892895E-04                 0       0.000116485

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.33        0.14643217    0.40899847E-03                 0        0.00918346
    -1.67        0.53176306    0.68505755E-03                 0         0.0207381
    -1.00        0.60122117    0.64853069E-03                 0         0.0119015
    -0.33        0.61744638    0.65380433E-03                 0         0.0072797
     0.33        0.61706208    0.65883668E-03                 0        0.00722768
     1.00        0.60109093    0.64447479E-03                 0         0.0118629
     1.67        0.53179013    0.69107020E-03                 0         0.0207183
     2.33        0.14635548    0.41299597E-03                 0        0.00915601
     3.00         0.0000000         0.0000000                 0                 0
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    30.50        0.59956492    0.10383217E-02                 0         0.0174156
    31.50        0.68328022    0.10802676E-02                 0         0.0185854
    32.50        0.76568934    0.11189002E-02                 0          0.019691
    33.50        0.83978722    0.11689573E-02                 0         0.0206942
    34.50        0.90471548    0.12009625E-02                 0         0.0216894

  ----   l-/lep. pT     ----

     1.67         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     8.33    0.36877006E-01    0.17135352E-03                 0       0.000693789
    11.67         1.0731268    0.14907612E-02                 0         0.0214291
    15.00        0.36860362    0.70506050E-03                 0        0.00947407
    18.33        0.17392960    0.42180717E-03                 0        0.00558032
    21.67        0.56672396    0.10053604E-02                 0         0.0113888
    25.00        0.66957844    0.99795857E-03                 0         0.0137622
    28.33        0.29987694    0.60780624E-03                 0         0.0075869
    31.67        0.16136665    0.42760670E-03                 0        0.00484905
    35.00        0.10315171    0.32379823E-03                 0        0.00347995
    38.33    0.71698016E-01    0.26930171E-03                 0        0.00272652
    41.67    0.51177117E-01    0.20322904E-03                 0        0.00219623
    45.00    0.38383402E-01    0.17120019E-03                 0        0.00182043
    48.33    0.29402652E-01    0.14788391E-03                 0        0.00151049
    51.67    0.23289683E-01    0.13176752E-03                 0         0.0012614
    55.00    0.18599340E-01    0.11620430E-03                 0        0.00109472
    58.33    0.15083495E-01    0.10272800E-03                 0       0.000911916
    61.67    0.12544796E-01    0.95528811E-04                 0       0.000828337
    65.00    0.10354152E-01    0.84414906E-04                 0       0.000691477
    68.33    0.85876308E-02    0.77373411E-04                 0       0.000593179
    71.67    0.73134680E-02    0.71615686E-04                 0       0.000548228
    75.00    0.61603652E-02    0.65263471E-04                 0       0.000478852
    78.33    0.53139628E-02    0.59138913E-04                 0       0.000416372
    81.67    0.46373154E-02    0.56917780E-04                 0       0.000385437
    85.00    0.38586024E-02    0.49714173E-04                 0       0.000328494
    88.33    0.34166724E-02    0.49656809E-04                 0       0.000306274
    91.67    0.29890190E-02    0.46795311E-04                 0       0.000283759
    95.00    0.25879558E-02    0.42353309E-04                 0       0.000253932
    98.33    0.23738473E-02    0.40712025E-04                 0       0.000242931

  ----   l-/lep. eta    ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.33        0.20150442    0.45932443E-03                 0         0.0109044
    -1.67        0.48858551    0.65190375E-03                 0         0.0177415
    -1.00        0.58982606    0.64905849E-03                 0         0.0124078
    -0.33        0.61687059    0.66161592E-03                 0        0.00806202
     0.33        0.61669434    0.66617668E-03                 0         0.0080253
     1.00        0.58961235    0.64571384E-03                 0         0.0123598
     1.67        0.48870630    0.65525287E-03                 0         0.0177212
     2.33        0.20137815    0.46312309E-03                 0         0.0108727
     3.00         0.0000000         0.0000000                 0                 0
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   l+/neu. pT     ----

     1.67         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     8.33    0.36710292E-01    0.17143398E-03                 0       0.000672436
    11.67         1.0607250    0.14599351E-02                 0         0.0199329
    15.00        0.36414954    0.70230020E-03                 0        0.00884405
