 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    52.000000000000000     
 Renormalization scale              =    52.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.13320049852312923     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    50.000000000000000     
 Upper M limit for non-Zpole     =    55.000000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    50.000000000000000     
 Lepton-pair invariant mass maximum =    55.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    1281.0000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    8.9978032031220305
 Integration Error (pb)      =    2.9500471302917188E-002
 PDF Error (pb)              +   2.13163e-14
                             -      0.157377
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     4.17         4.2881392    0.26868677E-01                 0         0.0800018
    12.50         1.9646103    0.68746246E-02                 0         0.0329378
    20.83         1.0793908    0.60416529E-02                 0         0.0131605
    29.17        0.93310414    0.83825288E-02                 0        0.00401887
    37.50        0.26312129    0.13599659E-02                 0        0.00644944
    45.83        0.15293321    0.97810897E-03                 0        0.00475815
    54.17    0.94291884E-01    0.72161398E-03                 0        0.00337224
    62.50    0.59669735E-01    0.53776090E-03                 0        0.00244316
    70.83    0.39825002E-01    0.41193266E-03                 0        0.00184581
    79.17    0.27385000E-01    0.32472193E-03                 0        0.00139553
    87.50    0.19947560E-01    0.26556403E-03                 0        0.00115752
    95.83    0.14879408E-01    0.22152636E-03                 0       0.000923073
   104.17    0.10695253E-01    0.18027279E-03                 0       0.000725796
   112.50    0.84059133E-02    0.15127006E-03                 0       0.000616439
   120.83    0.63318912E-02    0.12488893E-03                 0        0.00049472
   129.17    0.52972960E-02    0.11413099E-03                 0       0.000434731
   137.50    0.40333514E-02    0.96363578E-04                 0       0.000353615
   145.83    0.33017059E-02    0.81709152E-04                 0       0.000301426
   154.17    0.26134206E-02    0.70652486E-04                 0       0.000254233
   162.50    0.22435434E-02    0.65350874E-04                 0       0.000232286
   170.83    0.18429155E-02    0.57051696E-04                 0       0.000193031
   179.17    0.15471065E-02    0.50994349E-04                 0       0.000177876
   187.50    0.12376021E-02    0.44488317E-04                 0       0.000151522
   195.83    0.10580582E-02    0.39481522E-04                 0       0.000128679
   204.17    0.87118435E-03    0.35392369E-04                 0       0.000113188
   212.50    0.77547182E-03    0.32851510E-04                 0       0.000102863
   220.83    0.67398285E-03    0.29871398E-04                 0       9.31961e-05
   229.17    0.57928383E-03    0.25585030E-04                 0       7.78931e-05
   237.50    0.49376762E-03    0.23456732E-04                 0       6.90523e-05
   245.83    0.42212726E-03    0.21294928E-04                 0       5.99555e-05

  ----   Z/W rapidity   ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.33        0.22799673    0.46995538E-02                 0         0.0107885
    -1.67         1.2066761    0.66603838E-02                 0         0.0323676
    -1.00         1.5135579    0.73797608E-02                 0         0.0212232
    -0.33         1.5515174    0.92521438E-02                 0         0.0137656
     0.33         1.5466968    0.82340016E-02                 0         0.0135594
     1.00         1.4988836    0.66804457E-02                 0         0.0210997
     1.67         1.1975239    0.70454165E-02                 0         0.0322163
     2.33        0.23483092    0.45219533E-02                 0         0.0111917
     3.00         0.0000000         0.0000000                 0                 0
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    50.50         1.8904507    0.11824613E-01                 0         0.0343539
    51.50         1.8102024    0.95324721E-02                 0         0.0326577
    52.50         1.8068060    0.10844743E-01                 0         0.0313741
    53.50         1.7509919    0.13385857E-01                 0         0.0298323
    54.50         1.7098106    0.11111680E-01                 0         0.0281912

  ----   l-/lep. pT     ----

     1.67         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     8.33    0.57265821E-02    0.30356696E-03                 0       8.58346e-05
    11.67        0.29112330    0.41326205E-02                 0        0.00353357
    15.00        0.54063947    0.54761885E-02                 0        0.00531228
    18.33        0.77086610    0.52673129E-02                 0           0.01263
    21.67         2.1507120    0.25609388E-01                 0         0.0365915
    25.00         2.2098938    0.29286565E-01                 0         0.0447078
    28.33         1.5260388    0.19423686E-01                 0         0.0292194
    31.67        0.50590717    0.36216027E-02                 0        0.00895833
    35.00        0.28462027    0.28621814E-02                 0        0.00448415
    38.33        0.20943068    0.31568047E-02                 0        0.00244087
    41.67        0.17678853    0.32569071E-02                 0        0.00129348
    45.00        0.14821886    0.32505401E-02                 0        0.00064407
    48.33    0.49719679E-01    0.60438178E-03                 0        0.00128809
    51.67    0.32322215E-01    0.41857062E-03                 0        0.00106271
    55.00    0.22875312E-01    0.33781092E-03                 0       0.000847847
    58.33    0.17778112E-01    0.29498377E-03                 0       0.000711186
    61.67    0.13190388E-01    0.23680694E-03                 0       0.000549981
    65.00    0.10046206E-01    0.20242272E-03                 0       0.000475324
    68.33    0.78285951E-02    0.16915410E-03                 0       0.000373987
    71.67    0.61036241E-02    0.14979177E-03                 0       0.000326783
    75.00    0.47718664E-02    0.12400983E-03                 0       0.000263968
    78.33    0.39992512E-02    0.11193660E-03                 0       0.000253771
    81.67    0.33113585E-02    0.99234162E-04                 0       0.000201471
    85.00    0.27306921E-02    0.84298050E-04                 0       0.000183949
    88.33    0.23731980E-02    0.76910244E-04                 0        0.00016338
    91.67    0.21041555E-02    0.73215982E-04                 0       0.000147928
    95.00    0.18422444E-02    0.65229575E-04                 0       0.000132295
    98.33    0.15261165E-02    0.60886444E-04                 0       0.000114717

  ----   l-/lep. eta    ----

    -9.67         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.33         0.0000000         0.0000000                 0                 0
    -7.67         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.33         0.0000000         0.0000000                 0                 0
    -5.67         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.33         0.0000000         0.0000000                 0                 0
    -3.67         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.33        0.48260460    0.62439445E-02                 0         0.0134873
    -1.67         1.0688664    0.72179936E-02                 0         0.0228245
    -1.00         1.4018627    0.70942689E-02                 0         0.0229493
    -0.33         1.5528342    0.94030327E-02                 0         0.0189807
     0.33         1.5413178    0.88607292E-02                 0         0.0189251
     1.00         1.3993001    0.78258367E-02                 0         0.0228255
     1.67         1.0649184    0.71708879E-02                 0         0.0229954
     2.33        0.48084046    0.62444704E-02                 0         0.0137708
     3.00         0.0000000         0.0000000                 0                 0
     3.67         0.0000000         0.0000000                 0                 0
     4.33         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.67         0.0000000         0.0000000                 0                 0
     6.33         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.67         0.0000000         0.0000000                 0                 0
     8.33         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.67         0.0000000         0.0000000                 0                 0

  ----   l+/neu. pT     ----

     1.67         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     8.33    0.58925212E-02    0.40614597E-03                 0       2.59041e-05
    11.67        0.28809992    0.41540121E-02                 0        0.00193263
    15.00        0.53326847    0.52423010E-02                 0        0.00356496
