 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    88.000000000000000     
 Renormalization scale              =    88.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section with LO photon-induced Channel                                                                                                 
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.12123379316541447     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus ON
 ======================================
 Lepton-pair invariant mass minimum =    86.000000000000000     
 Lepton-pair invariant mass maximum =    91.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    609.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    313.49282378755402
 Integration Error (pb)      =    1.0244378358956905
 PDF Error (pb)              +       3.52791
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     2.50         62.230912         1.1730672          0.551003                 0
     7.50         98.479008        0.51772328           1.03951                 0
    12.50         45.146241        0.23465278           0.49177                 0
    17.50         26.834219        0.13644285          0.298619                 0
    22.50         17.800879    0.97728907E-01          0.206198                 0
    27.50         12.645908    0.74129624E-01          0.150715                 0
    32.50         9.3777391    0.58899909E-01          0.115796                 0
    37.50         7.2671537    0.48672244E-01         0.0926392                 0
    42.50         5.7775386    0.41599723E-01         0.0766413                 0
    47.50         4.5841662    0.35785158E-01         0.0632978                 0
    52.50         3.6654633    0.30622831E-01          0.052263                 0
    57.50         3.0069847    0.26499266E-01         0.0439666                 0
    62.50         2.4962612    0.24024028E-01         0.0384781                 0
    67.50         2.0539276    0.20982618E-01          0.033311                 0
    72.50         1.7017574    0.18393858E-01         0.0285466                 0
    77.50         1.4376057    0.16252184E-01         0.0248933                 0
    82.50         1.1983450    0.14412921E-01         0.0215935                 0
    87.50         1.0276749    0.13103641E-01           0.01902                 0
    92.50        0.85005611    0.11092434E-01         0.0161743                 0
    97.50        0.72962890    0.10333566E-01         0.0144545                 0
   102.50        0.61063473    0.93252632E-02         0.0129621                 0
   107.50        0.54493883    0.90068330E-02         0.0115908                 0
   112.50        0.46361560    0.79954908E-02         0.0103967                 0
   117.50        0.41447104    0.75840937E-02        0.00993323                 0
   122.50        0.36066922    0.67206208E-02          0.008324                 0
   127.50        0.31257506    0.61005494E-02        0.00769321                 0
   132.50        0.26639070    0.53789870E-02        0.00696217                 0
   137.50        0.23506554    0.51248277E-02        0.00629291                 0
   142.50        0.20911103    0.47072658E-02         0.0055667                 0
   147.50        0.18163508    0.42078417E-02        0.00484909                 0
   152.50        0.16062818    0.40057919E-02         0.0046002                 0
   157.50        0.14576320    0.37058362E-02        0.00413312                 0
   162.50        0.12097575    0.32052978E-02        0.00357044                 0
   167.50        0.11111180    0.30056808E-02        0.00347645                 0
   172.50        0.10013888    0.28430829E-02        0.00328195                 0
   177.50    0.87462259E-01    0.25508447E-02        0.00280426                 0
   182.50    0.79220663E-01    0.23590402E-02        0.00264323                 0
   187.50    0.71761164E-01    0.22633186E-02         0.0025667                 0
   192.50    0.62887458E-01    0.20197409E-02        0.00210214                 0
   197.50    0.55387336E-01    0.18827504E-02         0.0019619                 0
   202.50    0.51660433E-01    0.17686707E-02        0.00182656                 0
   207.50    0.46403194E-01    0.16157339E-02        0.00167932                 0
   212.50    0.42613386E-01    0.15397905E-02        0.00150497                 0
   217.50    0.39999785E-01    0.15560507E-02        0.00158072                 0
   222.50    0.36238396E-01    0.13899232E-02        0.00144171                 0
   227.50    0.34196639E-01    0.14130509E-02        0.00140206                 0
   232.50    0.28430511E-01    0.12076057E-02        0.00114168                 0
   237.50    0.27949194E-01    0.12138531E-02        0.00115167                 0
   242.50    0.28039402E-01    0.12217659E-02        0.00116417                 0
   247.50    0.21955279E-01    0.10212644E-02       0.000861738                 0

  ----   Z/W rapidity   ----

    -9.80         0.0000000         0.0000000                 0                 0
    -9.40         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.60         0.0000000         0.0000000                 0                 0
    -8.20         0.0000000         0.0000000                 0                 0
    -7.80         0.0000000         0.0000000                 0                 0
    -7.40         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.60         0.0000000         0.0000000                 0                 0
    -6.20         0.0000000         0.0000000                 0                 0
    -5.80         0.0000000         0.0000000                 0                 0
    -5.40         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.60         0.0000000         0.0000000                 0                 0
    -4.20         0.0000000         0.0000000                 0                 0
    -3.80         0.0000000         0.0000000                 0                 0
    -3.40         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.60    0.11044512E-01    0.61213066E-02       0.000408686                 0
    -2.20         6.2453814        0.13512292          0.155387                 0
    -1.80         17.579653        0.23389708          0.315293                 0
    -1.40         27.280633        0.19100446          0.361548                 0
    -1.00         33.663526        0.18084292          0.341436                 0
    -0.60         35.694517        0.19568577          0.304557                 0
    -0.20         35.941511        0.21717807          0.282015                 0
     0.20         36.149256        0.21155465           0.28283                 0
     0.60         35.745455        0.20384097            0.3057                 0
     1.00         33.867150        0.26072309           0.34602                 0
     1.40         27.404855        0.22073078          0.362452                 0
     1.80         17.636904        0.19829122          0.317655                 0
     2.20         6.1230418        0.15858497          0.151987                 0
     2.60    0.11766041E-01    0.50166168E-02       0.000445929                 0
     3.00         0.0000000         0.0000000                 0                 0
     3.40         0.0000000         0.0000000                 0                 0
     3.80         0.0000000         0.0000000                 0                 0
     4.20         0.0000000         0.0000000                 0                 0
     4.60         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.40         0.0000000         0.0000000                 0                 0
     5.80         0.0000000         0.0000000                 0                 0
     6.20         0.0000000         0.0000000                 0                 0
     6.60         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.40         0.0000000         0.0000000                 0                 0
     7.80         0.0000000         0.0000000                 0                 0
     8.20         0.0000000         0.0000000                 0                 0
     8.60         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.40         0.0000000         0.0000000                 0                 0
     9.80         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    86.50         17.150377    0.84117910E-01          0.170611                 0
    87.50         25.308548        0.13906011          0.263719                 0
    88.50         40.929252        0.22175483          0.447043                 0
    89.50         77.149509        0.47087093          0.876318                 0
    90.50         152.46790        0.71109469           1.76651                 0

  ----   l-/lep. pT     ----

     1.00         0.0000000         0.0000000                 0                 0
     3.00         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     9.00    0.17090539E-01    0.15533757E-02       0.000150394                 0
    11.00        0.73657080    0.20030855E-01         0.0066933                 0
    13.00         1.1306852    0.26594215E-01         0.0102388                 0
    15.00         1.6234969    0.36202868E-01         0.0146634                 0
    17.00         2.3424490    0.52320115E-01         0.0210485                 0
    19.00         3.6025656    0.70332308E-01         0.0325952                 0
    21.00         7.8830326        0.52045970         0.0658214                 0
    23.00         8.1974853        0.48955459         0.0765712                 0
    25.00         10.011396        0.49504889          0.091789                 0
    27.00         12.099010        0.67585969           0.11744                 0
    29.00         11.697352        0.66867651          0.111622                 0
    31.00         15.629909        0.57201198          0.150057                 0
    33.00         16.207089        0.64545054          0.165001                 0
    35.00         19.025770        0.71387865           0.20003                 0
    37.00         22.884959         1.1293897           0.22867                 0
    39.00         24.571398         1.9531944          0.256113                 0
    41.00         33.097073         2.0548025          0.374177                 0
    43.00         34.846156         2.1113549          0.370153                 0
    45.00         20.042547         1.3046936          0.229594                 0
    47.00         23.819971        0.27035423          0.291769                 0
    49.00         10.526149        0.10548520           0.13343                 0
    51.00         6.5239482    0.66306869E-01         0.0855047                 0
    53.00         4.6202563    0.49229348E-01         0.0633563                 0
    55.00         3.4313420    0.37247774E-01         0.0487744                 0
    57.00         2.6662127    0.32110360E-01         0.0396545                 0
    59.00         2.1018353    0.25889506E-01         0.0319647                 0
    61.00         1.8046510    0.24128732E-01         0.0283543                 0
    63.00         1.4457598    0.20233037E-01         0.0235736                 0
    65.00         1.2269241    0.18975666E-01         0.0209486                 0
    67.00         1.0462354    0.16303309E-01         0.0180938                 0
    69.00        0.90378442    0.15186455E-01         0.0160322                 0
    71.00        0.78322436    0.14277202E-01         0.0143641                 0
