 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    88.000000000000000     
 Renormalization scale              =    88.000000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section                                                                                                                                
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.12123379316541447     
 PDF set = MRST2004qed                                                 
 ======================================
 Z pole focus ON
 ======================================
 Lepton-pair invariant mass minimum =    86.000000000000000     
 Lepton-pair invariant mass maximum =    91.000000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2000.0000000000000     
 Z rapidity maximum                 =    2000.0000000000000     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =     0.10000000000000001     
 Minimum pT for Observable Photon   =    10.000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   ktal
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    20.000000000000000     
 Maximum eta for Observable Jets    =    4.5000000000000000     
 Minimum Number of Jets             =             0
 Maximum Number of Jets             =             2
 Leading jet pT minimum             =    0.0000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =      2500000
 Requested relative precision (%)   =    1.0000000000000000     
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    608.00000000000000     
 Random number seed                 =           12
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    313.43285090094975
 Integration Error (pb)      =    1.0244288277569551
 PDF Error (pb)              +        3.5515
                             -             0
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     2.50         62.172019         1.1730713          0.574626                 0
     7.50         98.478637        0.51772698            1.0395                 0
    12.50         45.145950        0.23465370          0.491762                 0
    17.50         26.834055        0.13644348          0.298616                 0
    22.50         17.800745    0.97729094E-01          0.206196                 0
    27.50         12.646017    0.74129974E-01          0.150716                 0
    32.50         9.3776824    0.58899913E-01          0.115794                 0
    37.50         7.2671332    0.48672241E-01         0.0926389                 0
    42.50         5.7775175    0.41600441E-01         0.0766406                 0
    47.50         4.5841569    0.35785392E-01         0.0632976                 0
    52.50         3.6654351    0.30622875E-01         0.0522625                 0
    57.50         3.0069796    0.26499544E-01         0.0439661                 0
    62.50         2.4962950    0.24024052E-01         0.0384778                 0
    67.50         2.0539220    0.20982785E-01         0.0333109                 0
    72.50         1.7017486    0.18393940E-01         0.0285463                 0
    77.50         1.4376041    0.16252477E-01         0.0248931                 0
    82.50         1.1983416    0.14413200E-01         0.0215932                 0
    87.50         1.0276812    0.13103922E-01         0.0190199                 0
    92.50        0.85004507    0.11092373E-01         0.0161741                 0
    97.50        0.72962405    0.10333543E-01         0.0144544                 0
   102.50        0.61063593    0.93254044E-02         0.0129621                 0
   107.50        0.54493099    0.90068689E-02         0.0115906                 0
   112.50        0.46361760    0.79956087E-02         0.0103967                 0
   117.50        0.41447089    0.75842048E-02        0.00993316                 0
   122.50        0.36067047    0.67207870E-02         0.0083241                 0
   127.50        0.31257465    0.61006345E-02        0.00769307                 0
   132.50        0.26639304    0.53791181E-02        0.00696224                 0
   137.50        0.23506435    0.51249623E-02        0.00629274                 0
   142.50        0.20910597    0.47072692E-02        0.00556671                 0
   147.50        0.18163335    0.42079161E-02          0.004849                 0
   152.50        0.16062831    0.40058720E-02        0.00460023                 0
   157.50        0.14576535    0.37060125E-02        0.00413312                 0
   162.50        0.12097713    0.32053681E-02        0.00357054                 0
   167.50        0.11111020    0.30054998E-02        0.00347628                 0
   172.50        0.10013889    0.28431467E-02        0.00328201                 0
   177.50    0.87462094E-01    0.25508590E-02         0.0028042                 0
   182.50    0.79220141E-01    0.23589994E-02        0.00264323                 0
   187.50    0.71759054E-01    0.22632663E-02        0.00256669                 0
   192.50    0.62886276E-01    0.20197464E-02        0.00210213                 0
   197.50    0.55389690E-01    0.18828094E-02        0.00196191                 0
   202.50    0.51661490E-01    0.17686778E-02        0.00182658                 0
   207.50    0.46400549E-01    0.16156463E-02        0.00167927                 0
   212.50    0.42613829E-01    0.15399002E-02        0.00150501                 0
   217.50    0.40001047E-01    0.15561942E-02        0.00158076                 0
   222.50    0.36236228E-01    0.13898475E-02        0.00144158                 0
   227.50    0.34198215E-01    0.14130898E-02        0.00140213                 0
   232.50    0.28429027E-01    0.12076112E-02        0.00114165                 0
   237.50    0.27949841E-01    0.12139903E-02         0.0011517                 0
   242.50    0.28039870E-01    0.12218123E-02        0.00116408                 0
   247.50    0.21950414E-01    0.10211094E-02       0.000861598                 0

  ----   Z/W rapidity   ----

    -9.80         0.0000000         0.0000000                 0                 0
    -9.40         0.0000000         0.0000000                 0                 0
    -9.00         0.0000000         0.0000000                 0                 0
    -8.60         0.0000000         0.0000000                 0                 0
    -8.20         0.0000000         0.0000000                 0                 0
    -7.80         0.0000000         0.0000000                 0                 0
    -7.40         0.0000000         0.0000000                 0                 0
    -7.00         0.0000000         0.0000000                 0                 0
    -6.60         0.0000000         0.0000000                 0                 0
    -6.20         0.0000000         0.0000000                 0                 0
    -5.80         0.0000000         0.0000000                 0                 0
    -5.40         0.0000000         0.0000000                 0                 0
    -5.00         0.0000000         0.0000000                 0                 0
    -4.60         0.0000000         0.0000000                 0                 0
    -4.20         0.0000000         0.0000000                 0                 0
    -3.80         0.0000000         0.0000000                 0                 0
    -3.40         0.0000000         0.0000000                 0                 0
    -3.00         0.0000000         0.0000000                 0                 0
    -2.60    0.11032847E-01    0.61154833E-02       0.000408564                 0
    -2.20         6.2455069        0.13512074          0.155704                 0
    -1.80         17.577477        0.23389850          0.316309                 0
    -1.40         27.274309        0.19100610          0.363494                 0
    -1.00         33.654237        0.18084600          0.344193                 0
    -0.60         35.687262        0.19568773          0.307435                 0
    -0.20         35.934038        0.21717563          0.284895                 0
     0.20         36.141781        0.21155222          0.285711                 0
     0.60         35.738235        0.20384239          0.308578                 0
     1.00         33.857370        0.26071783          0.348762                 0
     1.40         27.402865        0.22072403          0.364385                 0
     1.80         17.634361        0.19828677          0.318661                 0
     2.20         6.1234915        0.15860038          0.152311                 0
     2.60    0.11754172E-01    0.50103387E-02       0.000445897                 0
     3.00         0.0000000         0.0000000                 0                 0
     3.40         0.0000000         0.0000000                 0                 0
     3.80         0.0000000         0.0000000                 0                 0
     4.20         0.0000000         0.0000000                 0                 0
     4.60         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     5.40         0.0000000         0.0000000                 0                 0
     5.80         0.0000000         0.0000000                 0                 0
     6.20         0.0000000         0.0000000                 0                 0
     6.60         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     7.40         0.0000000         0.0000000                 0                 0
     7.80         0.0000000         0.0000000                 0                 0
     8.20         0.0000000         0.0000000                 0                 0
     8.60         0.0000000         0.0000000                 0                 0
     9.00         0.0000000         0.0000000                 0                 0
     9.40         0.0000000         0.0000000                 0                 0
     9.80         0.0000000         0.0000000                 0                 0

  ----   Q_ll Invaria   ----

    86.50         17.137341    0.84111997E-01          0.175641                 0
    87.50         25.298428        0.13904561          0.268543                 0
    88.50         40.917007        0.22174755          0.451744                 0
    89.50         77.141668        0.47083954          0.881046                 0
    90.50         152.44958        0.71116100           1.77082                 0

  ----   l-/lep. pT     ----

     1.00         0.0000000         0.0000000                 0                 0
     3.00         0.0000000         0.0000000                 0                 0
     5.00         0.0000000         0.0000000                 0                 0
     7.00         0.0000000         0.0000000                 0                 0
     9.00    0.17087450E-01    0.15531973E-02       0.000150365                 0
    11.00        0.73666540    0.20031344E-01         0.0066949                 0
    13.00         1.1306831    0.26594568E-01         0.0102388                 0
    15.00         1.6234919    0.36203065E-01         0.0146633                 0
    17.00         2.3424490    0.52320530E-01         0.0210484                 0
    19.00         3.6025485    0.70332400E-01         0.0325949                 0
    21.00         7.8829115        0.52044802         0.0658699                 0
    23.00         8.1939398        0.48954806         0.0781488                 0
    25.00         10.014484        0.49507183          0.093433                 0
    27.00         12.094531        0.67592086          0.119044                 0
    29.00         11.693456        0.66874356          0.113287                 0
    31.00         15.625701        0.57202653          0.151685                 0
    33.00         16.202811        0.64546518          0.166675                 0
    35.00         19.020393        0.71382442          0.201767                 0
    37.00         22.865446         1.1298687          0.230247                 0
    39.00         24.565819         1.9535213          0.258129                 0
    41.00         33.092149         2.0550194           0.37665                 0
    43.00         34.838860         2.1113149          0.374102                 0
    45.00         20.040334         1.3046065          0.231453                 0
    47.00         23.819795        0.27035495          0.291763                 0
    49.00         10.526138        0.10548575          0.133429                 0
    51.00         6.5238815    0.66307049E-01         0.0855025                 0
    53.00         4.6202328    0.49229662E-01         0.0633554                 0
    55.00         3.4313653    0.37247791E-01         0.0487743                 0
    57.00         2.6661849    0.32110194E-01         0.0396537                 0
    59.00         2.1018367    0.25889582E-01         0.0319644                 0
    61.00         1.8046496    0.24128637E-01         0.0283543                 0
    63.00         1.4457607    0.20233358E-01         0.0235737                 0
    65.00         1.2269194    0.18975922E-01         0.0209484                 0
    67.00         1.0462213    0.16302274E-01         0.0180932                 0
    69.00        0.90376606    0.15186057E-01         0.0160319                 0
    71.00        0.78323080    0.14277568E-01         0.0143641                 0
